13, 60.00000, 13
37, 60.00000, 24
52, 60.00000, 15
61, 60.00000, 9
63, 60.00000, 2
75, 60.00000, 12
100, 60.00000, 25
132, 60.00000, 32
156, 60.00000, 24
175, 60.00000, 19
183, 60.00000, 8
187, 60.00000, 4
200, 60.00000, 13
253, 60.00000, 53
278, 60.00000, 25
304, 60.00000, 26
439, 60.00000, 135
444, 60.00000, 5
463, 60.00000, 19
471, 60.00000, 8
477, 60.00000, 6
498, 60.00000, 21
499, 60.00000, 1
512, 60.00000, 13
526, 60.00000, 14
547, 60.00000, 21
570, 60.00000, 23
580, 60.00000, 10
601, 60.00000, 21
614, 60.00000, 13
649, 120.00000, 35
676, 120.00000, 27
719, 120.00000, 43
723, 180.00000, 4
755, 300.00000, 32
927, 300.00000, 172
1044, 360.00000, 117
1156, 540.00000, 112
1204, 540.00000, 48
1372, 540.00000, 168
1378, 660.00000, 6
1441, 720.00000, 63
1497, 720.00000, 56
1515, 780.00000, 18
1522, 780.00000, 7
1643, 840.00000, 121
1671, 900.00000, 28
1676, 900.00000, 5
