micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
bloaty_fuzz_target,1,6,3,4,2,5
curl_curl_fuzzer_http,2,1,4,5,3,6
freetype2-2017,6,2,3,5,1,4
harfbuzz-1.3.2,3,1,4,5,2,6
jsoncpp_jsoncpp_fuzzer,2,6,3,1,4,5
lcms-2017-03-21,3,1,5,4,2,6
libjpeg-turbo-07-2017,2,1,3,4,5,6
libpcap_fuzz_both,6,1,5,3,2,4
libpng-1.2.56,6,1,5,2,3,4
libxml2-v2.9.2,2,4,3,5,1,6
libxslt_xpath,2,1,3,6,5,4
mbedtls_fuzz_dtlsclient,5,1,4,3,2,6
openssl_x509,4,2,5,1,6,3
openthread-2019-12-23,4,3,5,1,6,2
php_php-fuzz-parser,3,4,5,1,2,6
proj4-2017-08-14,5,4,6,1,3,2
re2-2014-12-09,3,1,4,6,5,2
sqlite3_ossfuzz,1,6,2,4,3,5
systemd_fuzz-link-parser,6,4,3,2,1,5
vorbis-2017-12-11,4,1,5,3,2,6
