,fuzzer,covered_targets,time,target,covered_edges,rank,micro_benchmark
0,afl,31625,66060,87954,307006,1,bloaty_fuzz_target
1,honggfuzz,31357,69540,87954,320348,2,bloaty_fuzz_target
2,eclipser,31221,67380,87954,319119,3,bloaty_fuzz_target
3,entropic,27766,65580,87954,311057,4,bloaty_fuzz_target
4,libfuzzer,23877,58920,87954,294426,5,bloaty_fuzz_target
5,aflplusplus,21760,36420,87954,266102,6,bloaty_fuzz_target
6,aflplusplus,63555,58440,121059,577437,1,curl_curl_fuzzer_http
7,afl,53438,53340,121059,543636,2,curl_curl_fuzzer_http
8,honggfuzz,52215,66060,121059,548910,3,curl_curl_fuzzer_http
9,eclipser,52121,53100,121059,537712,4,curl_curl_fuzzer_http
10,entropic,48426,54720,121059,521255,5,curl_curl_fuzzer_http
11,libfuzzer,46220,49560,121059,510283,6,curl_curl_fuzzer_http
12,honggfuzz,62931,71760,121987,481491,1,freetype2-2017
13,aflplusplus,61997,76500,121987,415300,2,freetype2-2017
14,eclipser,52624,65280,121987,394813,3,freetype2-2017
15,libfuzzer,41383,67140,121987,321014,4,freetype2-2017
16,entropic,41307,71460,121987,319323,5,freetype2-2017
17,afl,40481,52380,121987,301624,6,freetype2-2017
18,aflplusplus,61533,74460,79908,496680,1,harfbuzz-1.3.2
19,honggfuzz,59315,76740,79908,475240,2,harfbuzz-1.3.2
20,afl,56061,53760,79908,492861,3,harfbuzz-1.3.2
21,eclipser,56014,62280,79908,494772,4,harfbuzz-1.3.2
22,entropic,51364,65100,79908,441458,5,harfbuzz-1.3.2
23,libfuzzer,49331,62100,79908,435318,6,harfbuzz-1.3.2
24,entropic,9196,7080,9196,51319,1,jsoncpp_jsoncpp_fuzzer
25,afl,9194,8040,9196,50868,2,jsoncpp_jsoncpp_fuzzer
26,eclipser,9194,11100,9196,50746,3,jsoncpp_jsoncpp_fuzzer
27,honggfuzz,9191,9240,9196,50782,4,jsoncpp_jsoncpp_fuzzer
28,libfuzzer,9190,8700,9196,51069,5,jsoncpp_jsoncpp_fuzzer
29,aflplusplus,9145,15540,9196,49991,6,jsoncpp_jsoncpp_fuzzer
30,aflplusplus,20318,56640,41809,114404,1,lcms-2017-03-21
31,honggfuzz,19075,62400,41809,112231,2,lcms-2017-03-21
32,afl,18451,59400,41809,111444,3,lcms-2017-03-21
33,entropic,16550,63360,41809,105270,4,lcms-2017-03-21
34,eclipser,16350,59820,41809,105833,5,lcms-2017-03-21
35,libfuzzer,13533,60120,41809,98216,6,lcms-2017-03-21
36,aflplusplus,24479,36660,35077,153315,1,libjpeg-turbo-07-2017
37,afl,20227,40200,35077,143446,2,libjpeg-turbo-07-2017
38,eclipser,19860,39600,35077,140431,3,libjpeg-turbo-07-2017
39,entropic,18867,63720,35077,135769,4,libjpeg-turbo-07-2017
40,honggfuzz,16910,50940,35077,128900,5,libjpeg-turbo-07-2017
41,libfuzzer,13222,46140,35077,117020,6,libjpeg-turbo-07-2017
42,aflplusplus,40182,49020,46924,200163,1,libpcap_fuzz_both
43,honggfuzz,37033,58800,46924,188854,2,libpcap_fuzz_both
44,entropic,36527,64080,46924,186547,3,libpcap_fuzz_both
45,libfuzzer,34592,58440,46924,182247,4,libpcap_fuzz_both
46,eclipser,34344,48720,46924,181099,5,libpcap_fuzz_both
47,afl,34317,47040,46924,180841,6,libpcap_fuzz_both
48,aflplusplus,13111,25140,16452,90686,1,libpng-1.2.56
49,entropic,11122,20520,16452,85937,2,libpng-1.2.56
50,honggfuzz,11019,27960,16452,84568,3,libpng-1.2.56
51,libfuzzer,10433,22980,16452,82343,4,libpng-1.2.56
52,eclipser,10115,30540,16452,81110,5,libpng-1.2.56
53,afl,9953,22260,16452,80960,6,libpng-1.2.56
54,honggfuzz,79177,59220,85535,640002,1,libxml2-v2.9.2
55,afl,78683,67320,85535,608375,2,libxml2-v2.9.2
56,eclipser,77079,73380,85535,594725,3,libxml2-v2.9.2
57,aflplusplus,76738,65640,85535,566670,4,libxml2-v2.9.2
58,entropic,72947,65100,85535,537244,5,libxml2-v2.9.2
59,libfuzzer,69713,61260,85535,490771,6,libxml2-v2.9.2
60,aflplusplus,51068,51720,68210,633777,1,libxslt_xpath
61,afl,48822,45240,68210,609418,2,libxslt_xpath
62,eclipser,48540,47100,68210,603862,3,libxslt_xpath
63,libfuzzer,48163,34320,68210,605369,4,libxslt_xpath
64,honggfuzz,48158,57120,68210,600587,5,libxslt_xpath
65,entropic,48037,41340,68210,607736,6,libxslt_xpath
66,aflplusplus,9249,51600,22841,194888,1,mbedtls_fuzz_dtlsclient
67,honggfuzz,8761,42840,22841,189027,2,mbedtls_fuzz_dtlsclient
68,entropic,7783,42960,22841,185894,3,mbedtls_fuzz_dtlsclient
69,eclipser,7005,41640,22841,184221,4,mbedtls_fuzz_dtlsclient
70,afl,6914,42900,22841,184978,5,mbedtls_fuzz_dtlsclient
71,libfuzzer,5742,40080,22841,177670,6,mbedtls_fuzz_dtlsclient
72,entropic,23465,64320,98223,242104,1,openssl_x509
73,aflplusplus,23274,55020,98223,245166,2,openssl_x509
74,libfuzzer,22369,61080,98223,241570,3,openssl_x509
75,afl,22169,60720,98223,242765,4,openssl_x509
76,eclipser,19649,68400,98223,238427,5,openssl_x509
77,honggfuzz,18401,63660,98223,233192,6,openssl_x509
78,entropic,17136,41880,28484,206962,1,openthread-2019-12-23
79,libfuzzer,17071,33420,28484,207117,2,openthread-2019-12-23
80,aflplusplus,16927,36240,28484,206975,3,openthread-2019-12-23
81,afl,15868,38820,28484,197027,4,openthread-2019-12-23
82,eclipser,15666,40200,28484,195751,5,openthread-2019-12-23
83,honggfuzz,15085,39900,28484,191008,6,openthread-2019-12-23
84,entropic,108014,85320,135042,973678,1,php_php-fuzz-parser
85,honggfuzz,107590,84360,135042,977351,2,php_php-fuzz-parser
86,afl,104948,85020,135042,968706,3,php_php-fuzz-parser
87,aflplusplus,103965,81780,135042,970177,4,php_php-fuzz-parser
88,eclipser,102298,84360,135042,936385,5,php_php-fuzz-parser
89,libfuzzer,101312,80280,135042,932630,6,php_php-fuzz-parser
90,entropic,17492,48780,18419,296123,1,proj4-2017-08-14
91,libfuzzer,17218,48120,18419,291092,2,proj4-2017-08-14
92,honggfuzz,17129,59160,18419,287689,3,proj4-2017-08-14
93,aflplusplus,16285,49560,18419,229857,4,proj4-2017-08-14
94,afl,15725,46920,18419,195330,5,proj4-2017-08-14
95,eclipser,15533,45420,18419,190982,6,proj4-2017-08-14
96,aflplusplus,52063,16260,52164,235390,1,re2-2014-12-09
97,libfuzzer,52051,19440,52164,236377,2,re2-2014-12-09
98,afl,52050,19920,52164,232368,3,re2-2014-12-09
99,eclipser,52035,19140,52164,230235,4,re2-2014-12-09
100,honggfuzz,52006,17820,52164,230454,5,re2-2014-12-09
101,entropic,51508,27960,52164,229709,6,re2-2014-12-09
102,afl,167556,69960,218204,810408,1,sqlite3_ossfuzz
103,eclipser,165939,72480,218204,801636,2,sqlite3_ossfuzz
104,honggfuzz,165865,72060,218204,799111,3,sqlite3_ossfuzz
105,entropic,164124,74220,218204,797758,4,sqlite3_ossfuzz
106,libfuzzer,160151,70740,218204,769684,5,sqlite3_ossfuzz
107,aflplusplus,156835,70860,218204,763126,6,sqlite3_ossfuzz
108,honggfuzz,2805,24720,4321,15197,1,systemd_fuzz-link-parser
109,entropic,2751,20460,4321,15058,2,systemd_fuzz-link-parser
110,eclipser,2683,26520,4321,15105,3,systemd_fuzz-link-parser
111,aflplusplus,2625,18540,4321,14664,4,systemd_fuzz-link-parser
112,libfuzzer,2562,19680,4321,14734,5,systemd_fuzz-link-parser
113,afl,2396,18540,4321,14564,6,systemd_fuzz-link-parser
114,aflplusplus,10344,41040,26837,95836,1,vorbis-2017-12-11
115,honggfuzz,8855,39360,26837,91803,2,vorbis-2017-12-11
116,entropic,8651,39840,26837,92335,3,vorbis-2017-12-11
117,afl,7751,43740,26837,91189,4,vorbis-2017-12-11
118,eclipser,7124,43860,26837,89927,5,vorbis-2017-12-11
119,libfuzzer,5749,31260,26837,86655,6,vorbis-2017-12-11
