micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
jsoncpp_jsoncpp_fuzzer-IDX0,4,3,5,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX10,2,4,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX12,3,3,2,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX13,5,3,4,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX14,5,4,2,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX15,3,4,5,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX19,2,5,4,1,3,3
jsoncpp_jsoncpp_fuzzer-IDX2,5,3,4,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX21,1,5,3,4,2,1
jsoncpp_jsoncpp_fuzzer-IDX24,2,2,3,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX27,2,4,5,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX29,2,5,3,1,2,4
jsoncpp_jsoncpp_fuzzer-IDX3,2,5,4,1,1,3
jsoncpp_jsoncpp_fuzzer-IDX32,4,5,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX33,3,5,3,4,1,2
jsoncpp_jsoncpp_fuzzer-IDX34,2,2,2,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX35,5,2,5,3,4,1
jsoncpp_jsoncpp_fuzzer-IDX37,3,5,4,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX38,4,5,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX41,2,4,2,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX43,4,2,5,1,5,3
jsoncpp_jsoncpp_fuzzer-IDX44,3,5,4,4,2,1
jsoncpp_jsoncpp_fuzzer-IDX49,2,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX5,2,1,2,3,4,1
jsoncpp_jsoncpp_fuzzer-IDX51,3,5,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX52,4,3,5,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX53,4,5,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX56,2,2,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX57,3,4,2,1,2,1
jsoncpp_jsoncpp_fuzzer-IDX58,2,1,3,3,4,2
jsoncpp_jsoncpp_fuzzer-IDX6,3,2,5,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX60,4,3,2,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX61,2,4,2,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX67,3,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX72,5,4,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX73,2,5,2,3,1,4
jsoncpp_jsoncpp_fuzzer-IDX74,3,3,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX76,3,3,3,2,4,1
