,fuzzer,covered_targets,time,target,covered_edges,trial_id,rank,micro_benchmark
0,entropic,963,780,1079,3741,6001,1,bloaty_fuzz_target-IDX0
1,libfuzzer,900,840,1079,3564,8001,2,bloaty_fuzz_target-IDX0
2,honggfuzz,899,900,1079,3360,1,3,bloaty_fuzz_target-IDX0
3,eclipser,113,660,1079,1805,10001,4,bloaty_fuzz_target-IDX0
4,afl,80,900,1079,1656,4001,5,bloaty_fuzz_target-IDX0
5,aflplusplus,52,600,1079,1651,2001,6,bloaty_fuzz_target-IDX0
6,honggfuzz,341,780,382,4645,2,1,bloaty_fuzz_target-IDX1
7,libfuzzer,315,780,382,4166,8002,2,bloaty_fuzz_target-IDX1
8,afl,300,900,382,4187,4002,3,bloaty_fuzz_target-IDX1
9,eclipser,295,900,382,4374,10002,4,bloaty_fuzz_target-IDX1
10,aflplusplus,273,660,382,3845,2002,5,bloaty_fuzz_target-IDX1
11,entropic,248,900,382,4122,6002,6,bloaty_fuzz_target-IDX1
12,entropic,138,360,1143,1723,6003,1,bloaty_fuzz_target-IDX2
13,honggfuzz,121,900,1143,1525,3,2,bloaty_fuzz_target-IDX2
14,eclipser,105,900,1143,1457,10003,3,bloaty_fuzz_target-IDX2
15,aflplusplus,74,180,1143,1293,2003,4,bloaty_fuzz_target-IDX2
16,libfuzzer,61,840,1143,1543,8003,5,bloaty_fuzz_target-IDX2
17,afl,55,540,1143,1243,4003,6,bloaty_fuzz_target-IDX2
18,libfuzzer,33,300,170,4201,8004,1,bloaty_fuzz_target-IDX3
19,entropic,32,540,170,4443,6004,2,bloaty_fuzz_target-IDX3
20,honggfuzz,31,540,170,4759,4,3,bloaty_fuzz_target-IDX3
21,eclipser,19,300,170,4112,10004,4,bloaty_fuzz_target-IDX3
22,afl,17,240,170,3965,4004,5,bloaty_fuzz_target-IDX3
23,aflplusplus,15,60,170,3898,2004,6,bloaty_fuzz_target-IDX3
24,libfuzzer,12,780,35,4191,8005,1,bloaty_fuzz_target-IDX4
25,honggfuzz,11,60,35,3911,5,2,bloaty_fuzz_target-IDX4
26,eclipser,11,60,35,3828,10005,3,bloaty_fuzz_target-IDX4
27,aflplusplus,11,60,35,3651,2005,4,bloaty_fuzz_target-IDX4
28,afl,11,60,35,3496,4005,5,bloaty_fuzz_target-IDX4
29,entropic,11,60,35,3382,6005,6,bloaty_fuzz_target-IDX4
30,honggfuzz,61,180,263,1349,6,1,bloaty_fuzz_target-IDX5
31,entropic,61,240,263,1635,6006,2,bloaty_fuzz_target-IDX5
32,afl,54,900,263,1299,4006,3,bloaty_fuzz_target-IDX5
33,eclipser,52,660,263,1419,10006,4,bloaty_fuzz_target-IDX5
34,aflplusplus,49,780,263,1269,2006,5,bloaty_fuzz_target-IDX5
35,libfuzzer,41,60,263,1436,8006,6,bloaty_fuzz_target-IDX5
36,honggfuzz,25,120,25,4309,7,1,bloaty_fuzz_target-IDX6
