,fuzzer,covered_targets,time,target,covered_edges,trial_id,rank,micro_benchmark
0,eclipser,503,840,1968,1492,10001,1,bloaty_fuzz_target-IDX0
1,honggfuzz,473,540,1968,1277,1,2,bloaty_fuzz_target-IDX0
2,afl,461,900,1968,1196,4001,3,bloaty_fuzz_target-IDX0
3,entropic,375,240,1968,1458,6001,4,bloaty_fuzz_target-IDX0
4,libfuzzer,372,180,1968,1411,8001,5,bloaty_fuzz_target-IDX0
5,aflplusplus,311,900,1968,1012,2001,6,bloaty_fuzz_target-IDX0
6,honggfuzz,366,660,403,4606,2,1,bloaty_fuzz_target-IDX1
7,entropic,346,840,403,4549,6002,2,bloaty_fuzz_target-IDX1
8,libfuzzer,340,900,403,4389,8002,3,bloaty_fuzz_target-IDX1
9,afl,320,900,403,4450,4002,4,bloaty_fuzz_target-IDX1
10,eclipser,311,900,403,4397,10002,5,bloaty_fuzz_target-IDX1
11,aflplusplus,222,60,403,3593,2002,6,bloaty_fuzz_target-IDX1
12,eclipser,322,780,444,4428,10003,1,bloaty_fuzz_target-IDX2
13,afl,297,720,444,4355,4003,2,bloaty_fuzz_target-IDX2
14,entropic,281,840,444,4407,6003,3,bloaty_fuzz_target-IDX2
15,libfuzzer,218,180,444,3997,8003,4,bloaty_fuzz_target-IDX2
16,honggfuzz,163,780,444,4379,3,5,bloaty_fuzz_target-IDX2
17,aflplusplus,140,60,444,3691,2003,6,bloaty_fuzz_target-IDX2
18,entropic,234,780,243,4425,6004,1,bloaty_fuzz_target-IDX3
19,afl,231,360,243,4228,4004,2,bloaty_fuzz_target-IDX3
20,eclipser,228,720,243,4399,10004,3,bloaty_fuzz_target-IDX3
21,honggfuzz,227,900,243,4435,4,4,bloaty_fuzz_target-IDX3
22,aflplusplus,222,60,243,3914,2004,5,bloaty_fuzz_target-IDX3
23,libfuzzer,152,780,243,3225,8004,6,bloaty_fuzz_target-IDX3
24,entropic,207,600,1428,1964,6005,1,bloaty_fuzz_target-IDX4
25,afl,198,780,1428,1687,4005,2,bloaty_fuzz_target-IDX4
26,honggfuzz,189,540,1428,1872,5,3,bloaty_fuzz_target-IDX4
27,eclipser,172,840,1428,1947,10005,4,bloaty_fuzz_target-IDX4
28,libfuzzer,110,720,1428,1835,8005,5,bloaty_fuzz_target-IDX4
29,aflplusplus,108,840,1428,1525,2005,6,bloaty_fuzz_target-IDX4
30,honggfuzz,98,600,1449,1381,6,1,bloaty_fuzz_target-IDX5
31,entropic,64,480,1449,1359,6006,2,bloaty_fuzz_target-IDX5
32,eclipser,63,360,1449,1402,10006,3,bloaty_fuzz_target-IDX5
33,afl,63,840,1449,1121,4006,4,bloaty_fuzz_target-IDX5
34,libfuzzer,62,600,1449,1490,8006,5,bloaty_fuzz_target-IDX5
35,aflplusplus,61,240,1449,1350,2006,6,bloaty_fuzz_target-IDX5
36,entropic,142,420,437,1577,6007,1,bloaty_fuzz_target-IDX6
37,libfuzzer,101,120,437,1457,8007,2,bloaty_fuzz_target-IDX6
38,aflplusplus,100,540,437,1435,2007,3,bloaty_fuzz_target-IDX6
39,eclipser,85,240,437,1390,10007,4,bloaty_fuzz_target-IDX6
40,honggfuzz,80,780,437,1374,7,5,bloaty_fuzz_target-IDX6
41,afl,57,540,437,1116,4007,6,bloaty_fuzz_target-IDX6
42,entropic,349,840,404,4549,6008,1,bloaty_fuzz_target-IDX7
43,afl,348,720,404,4468,4008,2,bloaty_fuzz_target-IDX7
44,eclipser,343,720,404,4406,10008,3,bloaty_fuzz_target-IDX7
45,honggfuzz,343,780,404,4495,8,4,bloaty_fuzz_target-IDX7
46,aflplusplus,315,840,404,3922,2008,5,bloaty_fuzz_target-IDX7
47,libfuzzer,186,840,404,3433,8008,6,bloaty_fuzz_target-IDX7
48,entropic,175,300,439,3143,6009,1,bloaty_fuzz_target-IDX8
49,honggfuzz,127,540,439,4212,9,2,bloaty_fuzz_target-IDX8
50,aflplusplus,38,480,439,3504,2009,3,bloaty_fuzz_target-IDX8
51,eclipser,36,480,439,3916,10009,4,bloaty_fuzz_target-IDX8
52,afl,35,780,439,3974,4009,5,bloaty_fuzz_target-IDX8
53,libfuzzer,32,420,439,3963,8009,6,bloaty_fuzz_target-IDX8
54,honggfuzz,222,900,1168,1801,10,1,bloaty_fuzz_target-IDX9
55,eclipser,217,900,1168,1837,10010,2,bloaty_fuzz_target-IDX9
56,entropic,216,900,1168,2108,6010,3,bloaty_fuzz_target-IDX9
57,afl,212,780,1168,1669,4010,4,bloaty_fuzz_target-IDX9
58,libfuzzer,183,780,1168,2014,8010,5,bloaty_fuzz_target-IDX9
59,aflplusplus,120,780,1168,1506,2010,6,bloaty_fuzz_target-IDX9
60,honggfuzz,106,600,326,4143,11,1,bloaty_fuzz_target-IDX10
