micro_benchmark,aflplusplus,libfuzzer
bloaty_fuzz_target-IDX0,1,2
bloaty_fuzz_target-IDX1,1,2
bloaty_fuzz_target-IDX10,2,1
bloaty_fuzz_target-IDX11,1,1
bloaty_fuzz_target-IDX12,1,2
bloaty_fuzz_target-IDX13,2,1
bloaty_fuzz_target-IDX14,2,1
bloaty_fuzz_target-IDX15,1,2
bloaty_fuzz_target-IDX16,2,1
bloaty_fuzz_target-IDX17,1,2
bloaty_fuzz_target-IDX18,2,1
bloaty_fuzz_target-IDX19,2,1
bloaty_fuzz_target-IDX2,1,2
bloaty_fuzz_target-IDX20,2,1
bloaty_fuzz_target-IDX21,2,1
bloaty_fuzz_target-IDX22,2,1
bloaty_fuzz_target-IDX23,2,1
bloaty_fuzz_target-IDX24,1,2
bloaty_fuzz_target-IDX25,2,1
bloaty_fuzz_target-IDX26,2,1
bloaty_fuzz_target-IDX27,2,1
bloaty_fuzz_target-IDX28,2,1
bloaty_fuzz_target-IDX29,1,2
bloaty_fuzz_target-IDX3,2,1
bloaty_fuzz_target-IDX30,2,1
bloaty_fuzz_target-IDX31,2,1
bloaty_fuzz_target-IDX32,2,1
bloaty_fuzz_target-IDX33,2,1
bloaty_fuzz_target-IDX34,2,1
bloaty_fuzz_target-IDX35,2,1
bloaty_fuzz_target-IDX36,2,1
bloaty_fuzz_target-IDX37,2,1
bloaty_fuzz_target-IDX38,1,2
bloaty_fuzz_target-IDX39,2,1
bloaty_fuzz_target-IDX4,1,2
bloaty_fuzz_target-IDX40,1,1
bloaty_fuzz_target-IDX41,2,1
bloaty_fuzz_target-IDX42,2,1
bloaty_fuzz_target-IDX43,1,2
bloaty_fuzz_target-IDX44,2,1
bloaty_fuzz_target-IDX45,2,1
bloaty_fuzz_target-IDX46,2,1
bloaty_fuzz_target-IDX47,2,1
bloaty_fuzz_target-IDX48,1,2
bloaty_fuzz_target-IDX49,2,1
bloaty_fuzz_target-IDX5,1,2
bloaty_fuzz_target-IDX50,2,1
bloaty_fuzz_target-IDX51,2,1
bloaty_fuzz_target-IDX52,1,2
bloaty_fuzz_target-IDX53,2,1
bloaty_fuzz_target-IDX54,2,1
bloaty_fuzz_target-IDX55,2,1
bloaty_fuzz_target-IDX56,1,1
bloaty_fuzz_target-IDX57,2,1
bloaty_fuzz_target-IDX58,2,1
bloaty_fuzz_target-IDX59,2,1
bloaty_fuzz_target-IDX6,2,1
bloaty_fuzz_target-IDX60,2,1
bloaty_fuzz_target-IDX61,2,1
bloaty_fuzz_target-IDX62,1,1
