,fuzzer,coverage,time,rank,micro_benchmark
0,libfuzzer,108,180,1,bloaty_fuzz_target-IDX34
1,aflplusplus,87,840,2,bloaty_fuzz_target-IDX34
2,libfuzzer,59,540,1,bloaty_fuzz_target-IDX97
3,aflplusplus,16,180,2,bloaty_fuzz_target-IDX97
4,aflplusplus,189,240,1,freetype2-2017-IDX96
5,libfuzzer,188,420,2,freetype2-2017-IDX96
6,aflplusplus,374,780,1,freetype2-2017-IDX4
7,libfuzzer,200,780,2,freetype2-2017-IDX4
8,aflplusplus,535,600,1,freetype2-2017-IDX97
9,libfuzzer,81,60,2,freetype2-2017-IDX97
10,aflplusplus,373,240,1,bloaty_fuzz_target-IDX43
11,libfuzzer,365,420,2,bloaty_fuzz_target-IDX43
12,aflplusplus,312,840,1,freetype2-2017-IDX98
13,libfuzzer,139,120,2,freetype2-2017-IDX98
14,aflplusplus,658,240,1,freetype2-2017-IDX1
15,libfuzzer,216,60,2,freetype2-2017-IDX1
16,libfuzzer,775,180,1,bloaty_fuzz_target-IDX72
17,aflplusplus,754,60,2,bloaty_fuzz_target-IDX72
18,aflplusplus,453,420,1,freetype2-2017-IDX23
19,libfuzzer,97,600,2,freetype2-2017-IDX23
20,aflplusplus,21,60,1,freetype2-2017-IDX25
21,libfuzzer,21,180,2,freetype2-2017-IDX25
22,aflplusplus,36,60,1,bloaty_fuzz_target-IDX95
23,libfuzzer,23,240,2,bloaty_fuzz_target-IDX95
24,aflplusplus,190,60,1,freetype2-2017-IDX62
25,libfuzzer,190,60,1,freetype2-2017-IDX62
26,aflplusplus,168,60,1,freetype2-2017-IDX78
27,libfuzzer,168,180,2,freetype2-2017-IDX78
28,aflplusplus,503,840,1,freetype2-2017-IDX17
29,libfuzzer,395,840,2,freetype2-2017-IDX17
30,aflplusplus,19,60,1,bloaty_fuzz_target-IDX5
31,libfuzzer,19,300,2,bloaty_fuzz_target-IDX5
32,libfuzzer,240,660,1,freetype2-2017-IDX18
33,aflplusplus,211,900,2,freetype2-2017-IDX18
34,libfuzzer,39,540,1,freetype2-2017-IDX71
35,aflplusplus,25,300,2,freetype2-2017-IDX71
36,aflplusplus,380,840,1,freetype2-2017-IDX82
37,libfuzzer,191,540,2,freetype2-2017-IDX82
38,libfuzzer,23,60,1,bloaty_fuzz_target-IDX14
39,aflplusplus,23,120,2,bloaty_fuzz_target-IDX14
40,libfuzzer,30,60,1,bloaty_fuzz_target-IDX21
41,aflplusplus,28,120,2,bloaty_fuzz_target-IDX21
42,libfuzzer,36,660,1,bloaty_fuzz_target-IDX66
43,aflplusplus,27,60,2,bloaty_fuzz_target-IDX66
44,aflplusplus,23,120,1,bloaty_fuzz_target-IDX24
45,libfuzzer,23,360,2,bloaty_fuzz_target-IDX24
46,libfuzzer,98,240,1,bloaty_fuzz_target-IDX84
47,aflplusplus,85,780,2,bloaty_fuzz_target-IDX84
48,aflplusplus,37,60,1,bloaty_fuzz_target-IDX52
49,libfuzzer,29,120,2,bloaty_fuzz_target-IDX52
50,aflplusplus,285,720,1,freetype2-2017-IDX55
51,libfuzzer,151,240,2,freetype2-2017-IDX55
52,aflplusplus,49,60,1,freetype2-2017-IDX34
53,libfuzzer,49,60,1,freetype2-2017-IDX34
54,aflplusplus,299,780,1,freetype2-2017-IDX59
55,libfuzzer,298,840,2,freetype2-2017-IDX59
56,aflplusplus,388,420,1,freetype2-2017-IDX81
