,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
132,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,900,4994,,,0
198,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,1800,4994,,,0
358,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,2700,4994,,,0
555,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,3600,4994,,,0
704,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,4500,4994,,,0
858,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,5400,4994,,,0
1048,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,6300,4994,,,0
1195,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,7200,4994,,,0
1337,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,8100,4994,,,0
1440,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,9000,4994,,,0
1604,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,9900,4994,,,0
1806,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,10800,4994,,,0
1969,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,11700,4994,,,0
2096,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,12600,4994,,,0
2248,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,13500,4994,,,0
2353,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,14400,4994,,,0
2614,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,15300,4994,,,0
2644,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,16200,4994,,,0
2819,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,17100,4994,,,0
3009,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,18000,4994,,,0
3127,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,18900,4994,,,0
3378,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,19800,4994,,,0
3412,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,20700,4994,,,0
3833,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,21600,4994,,,0
3907,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,22500,5430,,,0
3937,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,23400,5430,,,0
3966,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,24300,5430,,,0
4265,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,25200,5430,,,0
4295,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,26100,5430,,,0
4689,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,27000,5430,,,0
4717,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,27900,5430,,,0
4934,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,28800,5430,,,0
5057,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,29700,5430,,,0
5250,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain13,aflpp_custom_mutator,bloaty_fuzz_target,2022-01-06 06:34:13.302232,2022-01-07 06:46:47.951420,40,30600,5430,,,0
