,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
200,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,900,15654,,,0
257,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,1800,16730,,,0
317,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,2700,18036,,,0
369,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,3600,18808,,,0
843,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,4500,19009,,,0
891,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,5400,19282,,,0
937,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,6300,20502,,,0
1261,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,7200,20775,,,0
1300,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,8100,21003,,,0
1335,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,9000,21032,,,0
1652,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,9900,21268,,,0
1724,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,10800,21373,,,0
1885,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,11700,21386,,,0
2086,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,12600,21396,,,0
2259,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,13500,21933,,,0
2440,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,14400,22001,,,0
2502,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,15300,22029,,,0
2669,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,16200,22055,,,0
2937,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,17100,22080,,,0
2972,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,18000,22111,,,0
3289,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,18900,22144,,,0
3338,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,19800,22152,,,0
3396,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,20700,22201,,,0
3637,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,21600,22212,,,0
3705,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,22500,22213,,,0
3957,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,23400,22213,,,0
3995,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,24300,22213,,,0
4408,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,25200,22403,,,0
4459,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,26100,22404,,,0
4494,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,27000,22404,,,0
4552,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,27900,22411,,,0
5045,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,28800,22411,,,0
5106,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,29700,22678,,,0
5139,45668bb09ccc1f7ab7f2cdebee11a18b9d8d4e27,/local/pfm/out/experiment-data,brain14,aflpp_custom_mutator,freetype2-2017,2022-01-06 06:49:26.401994,,40,30600,22685,,,0
