++++ stats ++++


 - - -  freetype2-2017-app_frozen/  - - - 



 ###  trial-1/  ### 
start_time        : 1630207119
last_update       : 1630293492
run_time          : 86372
fuzzer_pid        : 13
cycles_done       : 10
cycles_wo_finds   : 0
execs_done        : 805713230
execs_per_sec     : 9328.33
execs_ps_last_min : 10742.16
paths_total       : 15192
paths_favored     : 1425
paths_found       : 15190
paths_imported    : 0
max_depth         : 44
cur_path          : 9600
pending_favs      : 0
pending_total     : 6390
variable_paths    : 3654
stability         : 99.99%
bitmap_cvg        : 31.71%
unique_crashes    : 0
unique_hangs      : 0
last_path         : 1630293349
last_crash        : 0
last_hang         : 0
execs_since_crash : 805713230
exec_timeout      : 20
slowest_exec_ms   : 0
peak_rss_mb       : 0
cpu_affinity      : -1
edges_found       : 7409
total_edges       : 23362
var_byte_count    : 1
havoc_expansion   : 0
testcache_size    : 2078435
testcache_count   : 946
testcache_evict   : 265715495
afl_banner        : default
afl_version       : ++3.15a
target_mode       : persistent shmem_testcase deferred 
command_line      : ./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -- /out/ftfuzzer 2147483647

 ###  trial-2/  ### 
start_time        : 1630207119
last_update       : 1630293493
run_time          : 86373
fuzzer_pid        : 13
cycles_done       : 12
cycles_wo_finds   : 0
execs_done        : 838384404
execs_per_sec     : 9706.51
execs_ps_last_min : 10815.67
paths_total       : 15700
paths_favored     : 1492
paths_found       : 15698
paths_imported    : 0
max_depth         : 54
cur_path          : 15306
pending_favs      : 1
pending_total     : 5783
variable_paths    : 3468
stability         : 99.99%
bitmap_cvg        : 32.51%
unique_crashes    : 0
unique_hangs      : 0
last_path         : 1630293449
last_crash        : 0
last_hang         : 0
execs_since_crash : 838384404
exec_timeout      : 20
slowest_exec_ms   : 0
peak_rss_mb       : 0
cpu_affinity      : -1
edges_found       : 7596
total_edges       : 23362
var_byte_count    : 1
havoc_expansion   : 0
testcache_size    : 2092483
testcache_count   : 1017
testcache_evict   : 271580761
afl_banner        : default
afl_version       : ++3.15a
target_mode       : persistent shmem_testcase deferred 
command_line      : ./afl-fuzz -i /out/seeds -o /out/corpus -m none -t 1000+ -d -x ./afl++.dict -- /out/ftfuzzer 2147483647

 ###  trial-3/  ### 
start_time        : 1630207114
last_update       : 1630293490
run_time          : 86375
fuzzer_pid        : 13
cycles_done       : 10
cycles_wo_finds   : 0
execs_done        : 829037300
execs_per_sec     : 9598.02
execs_ps_last_min : 11129.59
paths_total       : 15402
paths_favored     : 1433
paths_found       : 15400
paths_imported    : 0
max_depth         : 43
cur_path          : 13700
pending_favs      : 0
pending_total     : 5872
variable_paths    : 3564
stability         : 99.99%
bitmap_cvg        : 31.01%
unique_crashes    : 0
unique_hangs      : 0
last_path         : 1630293483
last_crash        : 0
last_hang         : 0
execs_since_crash : 829037300
exec_timeout      : 20
slowest_exec_ms   : 0
peak_rss_mb       : 0
cpu_affinity      : -1
edges_found       : 7244
total_edges       : 23362
var_byte_count    : 1
havoc_expansion   : 0
testcache_size    : 2095792
testcache_count   : 1106
testcache_evict   : 271142104
afl_banner        : default
afl_version       : ++3.15a
target_mode       : persistent shmem_testcase deferred 
