micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
bloaty_fuzz_target-IDX0,3,6,2,5,1,4
bloaty_fuzz_target-IDX1,2,6,3,4,1,5
bloaty_fuzz_target-IDX10,5,6,4,2,1,3
bloaty_fuzz_target-IDX11,6,4,3,1,2,5
bloaty_fuzz_target-IDX12,2,1,5,3,4,6
bloaty_fuzz_target-IDX13,2,6,1,3,4,5
bloaty_fuzz_target-IDX14,2,5,3,1,4,6
bloaty_fuzz_target-IDX15,1,6,5,3,2,4
bloaty_fuzz_target-IDX16,3,6,4,5,1,2
bloaty_fuzz_target-IDX17,5,6,2,3,1,4
bloaty_fuzz_target-IDX18,4,6,2,3,1,5
bloaty_fuzz_target-IDX19,5,6,4,3,1,2
bloaty_fuzz_target-IDX2,1,6,5,4,2,3
bloaty_fuzz_target-IDX20,6,2,5,1,4,3
bloaty_fuzz_target-IDX21,5,6,3,4,1,2
bloaty_fuzz_target-IDX22,5,6,4,2,1,3
bloaty_fuzz_target-IDX23,5,6,2,1,4,3
bloaty_fuzz_target-IDX24,3,1,2,4,6,5
bloaty_fuzz_target-IDX25,2,6,1,3,5,4
bloaty_fuzz_target-IDX26,1,6,2,3,4,5
bloaty_fuzz_target-IDX27,5,6,3,2,1,4
bloaty_fuzz_target-IDX28,4,6,2,1,5,3
bloaty_fuzz_target-IDX29,1,6,4,2,3,5
bloaty_fuzz_target-IDX3,1,6,3,2,5,4
bloaty_fuzz_target-IDX30,1,5,2,3,4,6
bloaty_fuzz_target-IDX31,3,4,5,2,1,6
bloaty_fuzz_target-IDX32,3,2,4,5,1,6
bloaty_fuzz_target-IDX33,1,4,2,5,3,6
bloaty_fuzz_target-IDX34,5,6,4,2,1,3
bloaty_fuzz_target-IDX35,2,6,4,3,5,1
bloaty_fuzz_target-IDX36,3,6,4,2,1,5
bloaty_fuzz_target-IDX37,1,4,2,3,6,5
bloaty_fuzz_target-IDX38,2,6,4,3,1,5
bloaty_fuzz_target-IDX39,2,6,4,1,3,5
bloaty_fuzz_target-IDX4,3,5,4,1,2,6
