micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
jsoncpp_jsoncpp_fuzzer-IDX11,3,5,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX12,5,3,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX14,3,4,3,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX17,4,2,2,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX19,3,3,4,3,2,1
jsoncpp_jsoncpp_fuzzer-IDX20,5,3,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX21,3,4,3,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX22,3,1,4,3,2,2
jsoncpp_jsoncpp_fuzzer-IDX23,3,1,1,2,4,5
jsoncpp_jsoncpp_fuzzer-IDX24,4,3,3,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX27,3,2,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX29,3,4,4,2,2,1
jsoncpp_jsoncpp_fuzzer-IDX32,3,4,2,1,3,5
jsoncpp_jsoncpp_fuzzer-IDX36,3,4,5,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX37,3,3,5,4,2,1
jsoncpp_jsoncpp_fuzzer-IDX38,4,3,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX39,2,3,4,1,1,1
jsoncpp_jsoncpp_fuzzer-IDX4,3,2,2,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX40,2,4,2,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX41,5,4,3,3,2,1
jsoncpp_jsoncpp_fuzzer-IDX42,3,5,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX43,4,3,5,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX44,3,5,2,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX46,3,3,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX47,4,3,5,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX50,5,3,4,1,2,2
jsoncpp_jsoncpp_fuzzer-IDX52,3,5,2,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX57,2,5,3,1,1,4
jsoncpp_jsoncpp_fuzzer-IDX60,4,5,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX64,1,3,1,2,5,4
jsoncpp_jsoncpp_fuzzer-IDX65,2,5,4,3,2,1
jsoncpp_jsoncpp_fuzzer-IDX69,3,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX73,2,3,4,1,2,2
jsoncpp_jsoncpp_fuzzer-IDX74,2,2,4,5,3,1
jsoncpp_jsoncpp_fuzzer-IDX75,2,3,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX79,3,1,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX8,4,3,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX81,4,2,3,1,5,1
jsoncpp_jsoncpp_fuzzer-IDX82,3,2,4,1,5,1
jsoncpp_jsoncpp_fuzzer-IDX84,5,4,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX85,5,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX90,3,2,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX94,5,3,2,4,5,1
jsoncpp_jsoncpp_fuzzer-IDX95,4,3,5,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX98,3,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX99,3,4,4,1,5,2
libpng-1.2.56-IDX28,4,3,5,1,2,1
libpng-1.2.56-IDX36,5,1,4,3,3,2
libpng-1.2.56-IDX41,4,2,4,5,3,1
libpng-1.2.56-IDX56,3,1,5,2,4,2
libpng-1.2.56-IDX99,5,1,4,3,2,3
libxslt_xpath-IDX16,5,3,4,2,3,1
mbedtls_fuzz_dtlsclient-IDX15,3,1,3,2,5,4
mbedtls_fuzz_dtlsclient-IDX16,3,4,3,1,2,5
re2-2014-12-09-IDX62,3,1,5,2,4,1
systemd_fuzz-link-parser-IDX1,2,4,3,4,1,4
systemd_fuzz-link-parser-IDX10,1,4,2,4,4,3
systemd_fuzz-link-parser-IDX11,4,2,1,3,3,3
systemd_fuzz-link-parser-IDX12,5,4,5,2,1,3
systemd_fuzz-link-parser-IDX13,2,4,3,5,1,1
systemd_fuzz-link-parser-IDX14,2,2,2,1,3,4
systemd_fuzz-link-parser-IDX19,1,4,1,2,2,3
systemd_fuzz-link-parser-IDX25,2,4,1,3,3,3
systemd_fuzz-link-parser-IDX29,2,3,2,3,3,1
systemd_fuzz-link-parser-IDX3,1,2,1,3,4,3
systemd_fuzz-link-parser-IDX30,1,5,3,4,4,2
systemd_fuzz-link-parser-IDX31,2,1,1,1,3,4
systemd_fuzz-link-parser-IDX33,1,3,2,4,4,4
systemd_fuzz-link-parser-IDX38,4,2,5,3,3,1
systemd_fuzz-link-parser-IDX40,1,5,3,4,3,2
systemd_fuzz-link-parser-IDX41,1,3,2,2,4,3
systemd_fuzz-link-parser-IDX43,2,4,3,1,1,1
systemd_fuzz-link-parser-IDX45,5,3,2,3,1,4
systemd_fuzz-link-parser-IDX46,1,4,3,2,2,1
systemd_fuzz-link-parser-IDX47,3,2,4,1,4,5
systemd_fuzz-link-parser-IDX48,3,1,2,4,4,5
systemd_fuzz-link-parser-IDX5,5,2,5,3,4,1
systemd_fuzz-link-parser-IDX51,2,3,4,4,1,5
systemd_fuzz-link-parser-IDX52,3,3,4,1,2,3
systemd_fuzz-link-parser-IDX56,2,3,2,3,1,3
systemd_fuzz-link-parser-IDX57,1,2,4,3,3,2
systemd_fuzz-link-parser-IDX69,1,2,1,2,2,2
systemd_fuzz-link-parser-IDX70,1,3,2,2,2,1
systemd_fuzz-link-parser-IDX73,2,5,3,4,1,4
systemd_fuzz-link-parser-IDX75,2,3,2,3,1,3
systemd_fuzz-link-parser-IDX77,4,5,3,3,2,1
systemd_fuzz-link-parser-IDX79,1,2,4,5,3,5
systemd_fuzz-link-parser-IDX8,4,2,3,5,1,5
systemd_fuzz-link-parser-IDX85,4,1,2,3,3,3
systemd_fuzz-link-parser-IDX86,1,2,4,2,3,3
systemd_fuzz-link-parser-IDX87,1,5,2,1,3,4
systemd_fuzz-link-parser-IDX88,1,4,1,2,2,3
systemd_fuzz-link-parser-IDX92,3,1,4,3,2,3
systemd_fuzz-link-parser-IDX93,2,4,2,3,1,5
systemd_fuzz-link-parser-IDX94,1,2,1,2,2,2
systemd_fuzz-link-parser-IDX97,1,4,1,3,2,2
systemd_fuzz-link-parser-IDX99,5,4,5,3,1,2
vorbis-2017-12-11-IDX50,5,3,4,3,1,2
vorbis-2017-12-11-IDX62,3,1,4,4,2,5
vorbis-2017-12-11-IDX8,4,1,4,2,5,3
