micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
bloaty_fuzz_target-IDX0,5,6,3,1,2,4
bloaty_fuzz_target-IDX1,4,6,1,2,5,3
bloaty_fuzz_target-IDX10,2,6,1,3,4,5
bloaty_fuzz_target-IDX11,3,6,5,4,2,1
bloaty_fuzz_target-IDX12,5,6,3,4,1,2
bloaty_fuzz_target-IDX13,4,6,3,1,2,5
bloaty_fuzz_target-IDX14,5,6,3,2,1,4
bloaty_fuzz_target-IDX15,3,6,4,2,1,5
bloaty_fuzz_target-IDX16,3,5,4,6,1,2
bloaty_fuzz_target-IDX17,5,6,4,2,3,1
bloaty_fuzz_target-IDX18,6,5,4,2,3,1
bloaty_fuzz_target-IDX19,4,6,5,1,2,3
bloaty_fuzz_target-IDX2,4,6,5,1,2,3
bloaty_fuzz_target-IDX20,5,6,3,4,1,2
bloaty_fuzz_target-IDX21,5,6,3,1,4,2
bloaty_fuzz_target-IDX22,3,6,2,4,1,5
bloaty_fuzz_target-IDX23,6,5,4,2,1,3
bloaty_fuzz_target-IDX24,5,6,4,3,2,1
bloaty_fuzz_target-IDX25,6,5,4,3,2,1
bloaty_fuzz_target-IDX26,5,6,4,3,1,2
bloaty_fuzz_target-IDX27,5,6,3,4,2,1
bloaty_fuzz_target-IDX28,2,6,4,5,1,3
bloaty_fuzz_target-IDX29,4,6,3,1,2,5
bloaty_fuzz_target-IDX3,5,6,3,2,1,4
bloaty_fuzz_target-IDX30,3,6,2,4,1,5
bloaty_fuzz_target-IDX31,5,6,1,4,3,2
bloaty_fuzz_target-IDX32,6,2,3,1,5,4
bloaty_fuzz_target-IDX33,5,6,4,2,1,3
bloaty_fuzz_target-IDX34,5,6,3,2,4,1
bloaty_fuzz_target-IDX35,5,6,4,1,3,2
bloaty_fuzz_target-IDX36,6,5,3,2,1,4
bloaty_fuzz_target-IDX37,5,6,3,2,1,4
bloaty_fuzz_target-IDX38,3,6,2,5,1,4
bloaty_fuzz_target-IDX39,3,6,2,1,4,5
bloaty_fuzz_target-IDX4,6,3,5,1,2,4
bloaty_fuzz_target-IDX40,5,6,4,1,3,2
bloaty_fuzz_target-IDX41,5,6,4,3,2,1
bloaty_fuzz_target-IDX42,1,6,2,5,3,4
