,fuzzer,covered_targets,time,target,covered_edges,trial_id,rank,micro_benchmark
0,entropic,731,840,992,4363,6001,1,bloaty_fuzz_target-IDX0
1,honggfuzz,715,840,992,4886,1,2,bloaty_fuzz_target-IDX0
2,eclipser,661,840,992,4289,10001,3,bloaty_fuzz_target-IDX0
3,libfuzzer,592,900,992,4193,8001,4,bloaty_fuzz_target-IDX0
4,afl,580,900,992,4218,4001,5,bloaty_fuzz_target-IDX0
5,aflplusplus,448,900,992,3725,2001,6,bloaty_fuzz_target-IDX0
6,eclipser,1686,900,2370,4119,10002,1,bloaty_fuzz_target-IDX1
7,entropic,407,900,2370,1792,6002,2,bloaty_fuzz_target-IDX1
8,libfuzzer,312,840,2370,1683,8002,3,bloaty_fuzz_target-IDX1
9,afl,261,840,2370,1334,4002,4,bloaty_fuzz_target-IDX1
10,honggfuzz,257,840,2370,1509,2,5,bloaty_fuzz_target-IDX1
11,aflplusplus,124,120,2370,1170,2002,6,bloaty_fuzz_target-IDX1
12,entropic,336,840,2639,1648,6003,1,bloaty_fuzz_target-IDX2
13,honggfuzz,316,900,2639,1750,3,2,bloaty_fuzz_target-IDX2
14,libfuzzer,296,480,2639,1585,8003,3,bloaty_fuzz_target-IDX2
15,afl,273,420,2639,1420,4003,4,bloaty_fuzz_target-IDX2
16,eclipser,272,840,2639,1587,10003,5,bloaty_fuzz_target-IDX2
17,aflplusplus,133,480,2639,1224,2003,6,bloaty_fuzz_target-IDX2
18,honggfuzz,353,840,2260,1754,4,1,bloaty_fuzz_target-IDX3
19,entropic,283,360,2260,1617,6004,2,bloaty_fuzz_target-IDX3
20,eclipser,271,840,2260,1452,10004,3,bloaty_fuzz_target-IDX3
21,libfuzzer,235,420,2260,1566,8004,4,bloaty_fuzz_target-IDX3
22,afl,231,900,2260,1338,4004,5,bloaty_fuzz_target-IDX3
23,aflplusplus,201,900,2260,1313,2004,6,bloaty_fuzz_target-IDX3
24,entropic,279,780,1092,4070,6005,1,bloaty_fuzz_target-IDX4
25,honggfuzz,258,780,1092,4146,5,2,bloaty_fuzz_target-IDX4
26,aflplusplus,234,720,1092,4055,2005,3,bloaty_fuzz_target-IDX4
27,libfuzzer,228,900,1092,4026,8005,4,bloaty_fuzz_target-IDX4
28,eclipser,220,780,1092,4007,10005,5,bloaty_fuzz_target-IDX4
29,afl,202,900,1092,4072,4005,6,bloaty_fuzz_target-IDX4
30,entropic,561,900,2248,2167,6006,1,bloaty_fuzz_target-IDX5
31,libfuzzer,488,900,2248,1960,8006,2,bloaty_fuzz_target-IDX5
32,honggfuzz,480,900,2248,2059,6,3,bloaty_fuzz_target-IDX5
33,eclipser,385,840,2248,1952,10006,4,bloaty_fuzz_target-IDX5
34,afl,305,660,2248,1672,4006,5,bloaty_fuzz_target-IDX5
35,aflplusplus,183,60,2248,1498,2006,6,bloaty_fuzz_target-IDX5
36,entropic,506,900,862,4499,6007,1,bloaty_fuzz_target-IDX6
37,libfuzzer,474,660,862,4165,8007,2,bloaty_fuzz_target-IDX6
38,honggfuzz,447,840,862,4558,7,3,bloaty_fuzz_target-IDX6
39,eclipser,432,840,862,4120,10007,4,bloaty_fuzz_target-IDX6
40,afl,380,720,862,4160,4007,5,bloaty_fuzz_target-IDX6
41,aflplusplus,323,480,862,3790,2007,6,bloaty_fuzz_target-IDX6
42,entropic,896,900,1344,4482,6008,1,bloaty_fuzz_target-IDX7
43,afl,836,900,1344,4383,4008,2,bloaty_fuzz_target-IDX7
44,eclipser,802,900,1344,4280,10008,3,bloaty_fuzz_target-IDX7
45,honggfuzz,736,900,1344,4212,8,4,bloaty_fuzz_target-IDX7
46,libfuzzer,710,900,1344,4264,8008,5,bloaty_fuzz_target-IDX7
47,aflplusplus,642,60,1344,3882,2008,6,bloaty_fuzz_target-IDX7
48,honggfuzz,1561,900,1758,4362,9,1,bloaty_fuzz_target-IDX8
49,afl,1494,840,1758,4227,4009,2,bloaty_fuzz_target-IDX8
50,entropic,1476,900,1758,4252,6009,3,bloaty_fuzz_target-IDX8
51,eclipser,1426,780,1758,4013,10009,4,bloaty_fuzz_target-IDX8
52,libfuzzer,1127,900,1758,3111,8009,5,bloaty_fuzz_target-IDX8
53,aflplusplus,221,60,1758,1583,2009,6,bloaty_fuzz_target-IDX8
54,afl,1880,840,2699,3644,4010,1,bloaty_fuzz_target-IDX9
55,eclipser,502,720,2699,1571,10010,2,bloaty_fuzz_target-IDX9
56,honggfuzz,476,900,2699,1503,10,3,bloaty_fuzz_target-IDX9
57,aflplusplus,428,120,2699,1273,2010,4,bloaty_fuzz_target-IDX9
58,entropic,372,900,2699,1515,6010,5,bloaty_fuzz_target-IDX9
59,libfuzzer,351,480,2699,1453,8010,6,bloaty_fuzz_target-IDX9
60,eclipser,1091,900,1589,4480,10011,1,bloaty_fuzz_target-IDX10
61,afl,1025,780,1589,4425,4011,2,bloaty_fuzz_target-IDX10
62,entropic,994,780,1589,4368,6011,3,bloaty_fuzz_target-IDX10
63,honggfuzz,991,900,1589,4256,11,4,bloaty_fuzz_target-IDX10
64,libfuzzer,953,840,1589,4284,8011,5,bloaty_fuzz_target-IDX10
65,aflplusplus,924,60,1589,3962,2011,6,bloaty_fuzz_target-IDX10
66,libfuzzer,378,900,2255,1950,8012,1,bloaty_fuzz_target-IDX11
67,honggfuzz,343,900,2255,1889,12,2,bloaty_fuzz_target-IDX11
68,afl,333,840,2255,1694,4012,3,bloaty_fuzz_target-IDX11
69,entropic,319,840,2255,1974,6012,4,bloaty_fuzz_target-IDX11
70,eclipser,282,900,2255,1876,10012,5,bloaty_fuzz_target-IDX11
71,aflplusplus,174,60,2255,1492,2012,6,bloaty_fuzz_target-IDX11
72,honggfuzz,790,900,985,4763,13,1,bloaty_fuzz_target-IDX12
73,libfuzzer,751,840,985,4492,8013,2,bloaty_fuzz_target-IDX12
74,eclipser,697,900,985,4317,10013,3,bloaty_fuzz_target-IDX12
75,entropic,674,900,985,4184,6013,4,bloaty_fuzz_target-IDX12
76,afl,661,780,985,4310,4013,5,bloaty_fuzz_target-IDX12
77,aflplusplus,371,60,985,3618,2013,6,bloaty_fuzz_target-IDX12
78,entropic,760,900,1073,4390,6014,1,bloaty_fuzz_target-IDX13
79,honggfuzz,753,900,1073,4775,14,2,bloaty_fuzz_target-IDX13
80,eclipser,727,840,1073,4408,10014,3,bloaty_fuzz_target-IDX13
81,afl,653,900,1073,4345,4014,4,bloaty_fuzz_target-IDX13
82,libfuzzer,509,900,1073,4031,8014,5,bloaty_fuzz_target-IDX13
83,aflplusplus,380,180,1073,3653,2014,6,bloaty_fuzz_target-IDX13
84,honggfuzz,1946,900,2257,4935,15,1,bloaty_fuzz_target-IDX14
85,entropic,1897,900,2257,4635,6015,2,bloaty_fuzz_target-IDX14
86,eclipser,1799,900,2257,4407,10015,3,bloaty_fuzz_target-IDX14
87,libfuzzer,1736,900,2257,4436,8015,4,bloaty_fuzz_target-IDX14
88,afl,389,900,2257,1796,4015,5,bloaty_fuzz_target-IDX14
89,aflplusplus,282,720,2257,1599,2015,6,bloaty_fuzz_target-IDX14
90,honggfuzz,747,780,1038,4787,16,1,bloaty_fuzz_target-IDX15
91,entropic,692,900,1038,4350,6016,2,bloaty_fuzz_target-IDX15
92,afl,661,780,1038,4372,4016,3,bloaty_fuzz_target-IDX15
93,eclipser,644,900,1038,4471,10016,4,bloaty_fuzz_target-IDX15
94,libfuzzer,621,840,1038,4328,8016,5,bloaty_fuzz_target-IDX15
95,aflplusplus,374,480,1038,3823,2016,6,bloaty_fuzz_target-IDX15
96,honggfuzz,537,840,855,4856,17,1,bloaty_fuzz_target-IDX16
97,libfuzzer,488,840,855,4286,8017,2,bloaty_fuzz_target-IDX16
98,afl,486,780,855,4216,4017,3,bloaty_fuzz_target-IDX16
99,eclipser,483,660,855,4335,10017,4,bloaty_fuzz_target-IDX16
100,aflplusplus,448,60,855,4010,2017,5,bloaty_fuzz_target-IDX16
101,entropic,435,900,855,4233,6017,6,bloaty_fuzz_target-IDX16
102,libfuzzer,469,780,1997,1895,8018,1,bloaty_fuzz_target-IDX17
103,entropic,449,840,1997,1927,6018,2,bloaty_fuzz_target-IDX17
104,honggfuzz,428,900,1997,1900,18,3,bloaty_fuzz_target-IDX17
105,eclipser,358,900,1997,1725,10018,4,bloaty_fuzz_target-IDX17
106,afl,330,900,1997,1630,4018,5,bloaty_fuzz_target-IDX17
107,aflplusplus,242,900,1997,1504,2018,6,bloaty_fuzz_target-IDX17
108,libfuzzer,221,540,2096,1581,8019,1,bloaty_fuzz_target-IDX18
109,entropic,204,600,2096,1561,6019,2,bloaty_fuzz_target-IDX18
110,honggfuzz,179,540,2096,1374,19,3,bloaty_fuzz_target-IDX18
111,eclipser,154,540,2096,1410,10019,4,bloaty_fuzz_target-IDX18
112,aflplusplus,143,840,2096,1330,2019,5,bloaty_fuzz_target-IDX18
113,afl,88,600,2096,1122,4019,6,bloaty_fuzz_target-IDX18
114,entropic,584,780,786,4368,6020,1,bloaty_fuzz_target-IDX19
115,honggfuzz,580,900,786,4619,20,2,bloaty_fuzz_target-IDX19
116,libfuzzer,552,900,786,4345,8020,3,bloaty_fuzz_target-IDX19
117,afl,521,900,786,4400,4020,4,bloaty_fuzz_target-IDX19
118,eclipser,494,900,786,4353,10020,5,bloaty_fuzz_target-IDX19
119,aflplusplus,364,60,786,3960,2020,6,bloaty_fuzz_target-IDX19
120,honggfuzz,490,900,2489,1702,21,1,bloaty_fuzz_target-IDX20
121,libfuzzer,432,180,2489,1517,8021,2,bloaty_fuzz_target-IDX20
122,eclipser,416,900,2489,1602,10021,3,bloaty_fuzz_target-IDX20
123,entropic,391,840,2489,1504,6021,4,bloaty_fuzz_target-IDX20
124,afl,276,900,2489,1243,4021,5,bloaty_fuzz_target-IDX20
125,aflplusplus,210,480,2489,1293,2021,6,bloaty_fuzz_target-IDX20
126,entropic,359,900,2196,1894,6022,1,bloaty_fuzz_target-IDX21
127,libfuzzer,351,720,2196,1863,8022,2,bloaty_fuzz_target-IDX21
128,eclipser,337,780,2196,1849,10022,3,bloaty_fuzz_target-IDX21
129,honggfuzz,299,900,2196,1821,22,4,bloaty_fuzz_target-IDX21
130,afl,206,840,2196,1536,4022,5,bloaty_fuzz_target-IDX21
131,aflplusplus,201,600,2196,1515,2022,6,bloaty_fuzz_target-IDX21
132,honggfuzz,1740,900,2036,4519,23,1,bloaty_fuzz_target-IDX22
133,eclipser,1731,900,2036,4448,10023,2,bloaty_fuzz_target-IDX22
134,afl,1652,840,2036,4250,4023,3,bloaty_fuzz_target-IDX22
135,entropic,1470,900,2036,3846,6023,4,bloaty_fuzz_target-IDX22
136,libfuzzer,1362,900,2036,3516,8023,5,bloaty_fuzz_target-IDX22
137,aflplusplus,1278,420,2036,3526,2023,6,bloaty_fuzz_target-IDX22
138,honggfuzz,467,900,2800,1485,24,1,bloaty_fuzz_target-IDX23
139,entropic,429,540,2800,1457,6024,2,bloaty_fuzz_target-IDX23
140,libfuzzer,418,900,2800,1432,8024,3,bloaty_fuzz_target-IDX23
141,eclipser,396,720,2800,1336,10024,4,bloaty_fuzz_target-IDX23
142,aflplusplus,345,780,2800,1375,2024,5,bloaty_fuzz_target-IDX23
143,afl,195,120,2800,1041,4024,6,bloaty_fuzz_target-IDX23
144,libfuzzer,407,780,2274,2034,8025,1,bloaty_fuzz_target-IDX24
145,honggfuzz,406,900,2274,1913,25,2,bloaty_fuzz_target-IDX24
146,entropic,404,780,2274,2085,6025,3,bloaty_fuzz_target-IDX24
147,eclipser,373,900,2274,1929,10025,4,bloaty_fuzz_target-IDX24
148,afl,340,840,2274,1659,4025,5,bloaty_fuzz_target-IDX24
149,aflplusplus,205,60,2274,1483,2025,6,bloaty_fuzz_target-IDX24
150,libfuzzer,579,780,885,4338,8026,1,bloaty_fuzz_target-IDX25
151,honggfuzz,577,900,885,4749,26,2,bloaty_fuzz_target-IDX25
152,entropic,552,900,885,4209,6026,3,bloaty_fuzz_target-IDX25
153,eclipser,508,900,885,4239,10026,4,bloaty_fuzz_target-IDX25
154,aflplusplus,469,600,885,4043,2026,5,bloaty_fuzz_target-IDX25
155,afl,449,720,885,4171,4026,6,bloaty_fuzz_target-IDX25
156,honggfuzz,609,900,950,4820,27,1,bloaty_fuzz_target-IDX26
157,libfuzzer,519,900,950,4441,8027,2,bloaty_fuzz_target-IDX26
158,entropic,505,840,950,4225,6027,3,bloaty_fuzz_target-IDX26
159,eclipser,486,780,950,4254,10027,4,bloaty_fuzz_target-IDX26
160,afl,450,780,950,4227,4027,5,bloaty_fuzz_target-IDX26
161,aflplusplus,324,60,950,3694,2027,6,bloaty_fuzz_target-IDX26
162,libfuzzer,587,720,2603,1576,8028,1,bloaty_fuzz_target-IDX27
163,honggfuzz,536,780,2603,1375,28,2,bloaty_fuzz_target-IDX27
164,eclipser,520,180,2603,1286,10028,3,bloaty_fuzz_target-IDX27
165,entropic,481,360,2603,1458,6028,4,bloaty_fuzz_target-IDX27
166,afl,481,360,2603,1160,4028,5,bloaty_fuzz_target-IDX27
167,aflplusplus,442,120,2603,1251,2028,6,bloaty_fuzz_target-IDX27
168,honggfuzz,1020,840,1277,4814,29,1,bloaty_fuzz_target-IDX28
169,afl,997,900,1277,4588,4029,2,bloaty_fuzz_target-IDX28
170,libfuzzer,929,900,1277,4349,8029,3,bloaty_fuzz_target-IDX28
171,eclipser,917,900,1277,4312,10029,4,bloaty_fuzz_target-IDX28
172,entropic,718,900,1277,4285,6029,5,bloaty_fuzz_target-IDX28
173,aflplusplus,553,420,1277,3720,2029,6,bloaty_fuzz_target-IDX28
174,entropic,948,900,1425,4516,6030,1,bloaty_fuzz_target-IDX29
175,honggfuzz,877,900,1425,4284,30,2,bloaty_fuzz_target-IDX29
176,eclipser,831,840,1425,4331,10030,3,bloaty_fuzz_target-IDX29
177,afl,773,900,1425,4321,4030,4,bloaty_fuzz_target-IDX29
178,libfuzzer,703,900,1425,4146,8030,5,bloaty_fuzz_target-IDX29
179,aflplusplus,630,180,1425,3873,2030,6,bloaty_fuzz_target-IDX29
180,honggfuzz,1552,720,2388,4138,31,1,bloaty_fuzz_target-IDX30
181,eclipser,1520,780,2388,4009,10031,2,bloaty_fuzz_target-IDX30
182,afl,1519,900,2388,4000,4031,3,bloaty_fuzz_target-IDX30
183,entropic,1400,900,2388,3610,6031,4,bloaty_fuzz_target-IDX30
184,libfuzzer,1381,900,2388,3550,8031,5,bloaty_fuzz_target-IDX30
185,aflplusplus,991,60,2388,2751,2031,6,bloaty_fuzz_target-IDX30
186,eclipser,695,900,1192,4475,10032,1,bloaty_fuzz_target-IDX31
187,libfuzzer,689,900,1192,4451,8032,2,bloaty_fuzz_target-IDX31
188,honggfuzz,673,900,1192,4549,32,3,bloaty_fuzz_target-IDX31
189,entropic,662,900,1192,4449,6032,4,bloaty_fuzz_target-IDX31
190,afl,582,840,1192,4287,4032,5,bloaty_fuzz_target-IDX31
191,aflplusplus,546,480,1192,4048,2032,6,bloaty_fuzz_target-IDX31
192,entropic,455,900,2744,1532,6033,1,bloaty_fuzz_target-IDX32
193,aflplusplus,434,660,2744,1522,2033,2,bloaty_fuzz_target-IDX32
194,eclipser,389,480,2744,1391,10033,3,bloaty_fuzz_target-IDX32
195,libfuzzer,383,360,2744,1442,8033,4,bloaty_fuzz_target-IDX32
196,honggfuzz,383,480,2744,1350,33,5,bloaty_fuzz_target-IDX32
197,afl,333,360,2744,1115,4033,6,bloaty_fuzz_target-IDX32
198,honggfuzz,805,900,2976,1808,34,1,bloaty_fuzz_target-IDX33
199,entropic,726,720,2976,1637,6034,2,bloaty_fuzz_target-IDX33
200,libfuzzer,571,660,2976,1461,8034,3,bloaty_fuzz_target-IDX33
201,eclipser,527,300,2976,1394,10034,4,bloaty_fuzz_target-IDX33
202,afl,427,660,2976,1123,4034,5,bloaty_fuzz_target-IDX33
203,aflplusplus,427,840,2976,1115,2034,6,bloaty_fuzz_target-IDX33
204,libfuzzer,296,900,2624,1724,8035,1,bloaty_fuzz_target-IDX34
205,entropic,286,840,2624,1706,6035,2,bloaty_fuzz_target-IDX34
206,eclipser,222,480,2624,1570,10035,3,bloaty_fuzz_target-IDX34
207,honggfuzz,210,900,2624,1530,35,4,bloaty_fuzz_target-IDX34
208,afl,162,780,2624,1284,4035,5,bloaty_fuzz_target-IDX34
209,aflplusplus,132,840,2624,1234,2035,6,bloaty_fuzz_target-IDX34
210,entropic,665,900,1041,4444,6036,1,bloaty_fuzz_target-IDX35
211,libfuzzer,607,900,1041,4276,8036,2,bloaty_fuzz_target-IDX35
212,honggfuzz,594,900,1041,4787,36,3,bloaty_fuzz_target-IDX35
213,eclipser,592,780,1041,4184,10036,4,bloaty_fuzz_target-IDX35
214,afl,555,900,1041,4281,4036,5,bloaty_fuzz_target-IDX35
215,aflplusplus,388,60,1041,3917,2036,6,bloaty_fuzz_target-IDX35
216,honggfuzz,487,900,2400,1669,37,1,bloaty_fuzz_target-IDX36
217,entropic,437,660,2400,1519,6037,2,bloaty_fuzz_target-IDX36
218,eclipser,417,900,2400,1516,10037,3,bloaty_fuzz_target-IDX36
219,libfuzzer,378,900,2400,1459,8037,4,bloaty_fuzz_target-IDX36
220,aflplusplus,231,120,2400,1179,2037,5,bloaty_fuzz_target-IDX36
221,afl,174,60,2400,1043,4037,6,bloaty_fuzz_target-IDX36
222,honggfuzz,424,780,2119,1978,38,1,bloaty_fuzz_target-IDX37
223,entropic,407,840,2119,2022,6038,2,bloaty_fuzz_target-IDX37
224,eclipser,362,840,2119,1880,10038,3,bloaty_fuzz_target-IDX37
225,libfuzzer,360,480,2119,1802,8038,4,bloaty_fuzz_target-IDX37
226,afl,321,900,2119,1636,4038,5,bloaty_fuzz_target-IDX37
227,aflplusplus,207,60,2119,1454,2038,6,bloaty_fuzz_target-IDX37
228,honggfuzz,719,900,1130,4818,39,1,bloaty_fuzz_target-IDX38
229,eclipser,702,900,1130,4243,10039,2,bloaty_fuzz_target-IDX38
230,afl,678,900,1130,4317,4039,3,bloaty_fuzz_target-IDX38
231,libfuzzer,665,840,1130,4219,8039,4,bloaty_fuzz_target-IDX38
232,entropic,602,900,1130,3909,6039,5,bloaty_fuzz_target-IDX38
233,aflplusplus,442,420,1130,3562,2039,6,bloaty_fuzz_target-IDX38
234,entropic,929,840,1262,4448,6040,1,bloaty_fuzz_target-IDX39
235,eclipser,887,780,1262,4471,10040,2,bloaty_fuzz_target-IDX39
236,afl,817,780,1262,4406,4040,3,bloaty_fuzz_target-IDX39
237,honggfuzz,800,900,1262,4364,40,4,bloaty_fuzz_target-IDX39
238,libfuzzer,631,900,1262,4191,8040,5,bloaty_fuzz_target-IDX39
239,aflplusplus,615,840,1262,3822,2040,6,bloaty_fuzz_target-IDX39
240,entropic,444,780,2033,1897,6041,1,bloaty_fuzz_target-IDX40
241,libfuzzer,420,540,2033,2024,8041,2,bloaty_fuzz_target-IDX40
242,honggfuzz,382,780,2033,1960,41,3,bloaty_fuzz_target-IDX40
243,eclipser,353,840,2033,1793,10041,4,bloaty_fuzz_target-IDX40
244,afl,300,900,2033,1670,4041,5,bloaty_fuzz_target-IDX40
245,aflplusplus,255,420,2033,1589,2041,6,bloaty_fuzz_target-IDX40
246,libfuzzer,397,900,2137,1973,8042,1,bloaty_fuzz_target-IDX41
247,honggfuzz,379,840,2137,2029,42,2,bloaty_fuzz_target-IDX41
248,entropic,335,660,2137,1888,6042,3,bloaty_fuzz_target-IDX41
249,eclipser,305,900,2137,2000,10042,4,bloaty_fuzz_target-IDX41
250,afl,268,900,2137,1623,4042,5,bloaty_fuzz_target-IDX41
251,aflplusplus,204,720,2137,1516,2042,6,bloaty_fuzz_target-IDX41
252,afl,1730,840,2246,3967,4043,1,bloaty_fuzz_target-IDX42
253,eclipser,619,840,2246,1522,10043,2,bloaty_fuzz_target-IDX42
