micro_benchmark,afl,aflplusplus,eclipser,entropic,honggfuzz,libfuzzer
jsoncpp_jsoncpp_fuzzer-IDX1,4,1,2,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX11,3,4,5,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX12,2,5,2,1,3,4
jsoncpp_jsoncpp_fuzzer-IDX14,2,5,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX15,3,3,5,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX16,5,3,4,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX17,2,5,4,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX18,5,3,5,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX19,3,5,2,1,1,4
jsoncpp_jsoncpp_fuzzer-IDX22,2,3,5,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX23,3,4,2,1,5,1
jsoncpp_jsoncpp_fuzzer-IDX25,4,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX26,5,3,4,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX27,3,3,4,1,3,2
jsoncpp_jsoncpp_fuzzer-IDX28,2,5,3,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX29,4,3,3,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX3,4,3,4,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX30,5,3,4,1,2,1
jsoncpp_jsoncpp_fuzzer-IDX31,4,3,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX32,3,2,2,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX33,4,3,4,2,5,1
jsoncpp_jsoncpp_fuzzer-IDX36,5,4,3,2,1,1
jsoncpp_jsoncpp_fuzzer-IDX4,3,3,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX41,3,2,4,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX48,4,5,3,1,2,3
jsoncpp_jsoncpp_fuzzer-IDX5,2,5,2,1,4,3
jsoncpp_jsoncpp_fuzzer-IDX51,3,5,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX52,4,2,3,1,5,1
jsoncpp_jsoncpp_fuzzer-IDX54,2,2,3,1,4,1
jsoncpp_jsoncpp_fuzzer-IDX56,5,3,4,1,2,1
jsoncpp_jsoncpp_fuzzer-IDX65,3,2,3,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX67,2,1,2,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX7,3,4,3,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX71,3,4,5,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX73,5,3,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX74,5,3,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX75,5,3,4,2,4,1
jsoncpp_jsoncpp_fuzzer-IDX76,2,2,3,1,4,2
jsoncpp_jsoncpp_fuzzer-IDX81,4,3,2,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX82,4,2,3,1,3,1
jsoncpp_jsoncpp_fuzzer-IDX87,1,5,4,2,3,1
jsoncpp_jsoncpp_fuzzer-IDX88,4,3,3,1,5,2
jsoncpp_jsoncpp_fuzzer-IDX91,4,1,2,1,5,3
jsoncpp_jsoncpp_fuzzer-IDX99,2,3,5,1,4,1
libpng-1.2.56-IDX30,3,1,5,4,2,2
libxslt_xpath-IDX7,2,1,3,5,4,5
openthread-2019-12-23-IDX32,4,2,3,1,5,1
re2-2014-12-09-IDX16,4,1,4,3,5,2
re2-2014-12-09-IDX44,2,4,1,5,3,2
re2-2014-12-09-IDX61,3,2,4,4,1,5
re2-2014-12-09-IDX71,4,2,5,3,4,1
systemd_fuzz-link-parser-IDX11,4,5,4,1,2,3
systemd_fuzz-link-parser-IDX12,4,2,5,1,3,5
systemd_fuzz-link-parser-IDX13,2,3,2,3,1,3
systemd_fuzz-link-parser-IDX16,2,1,3,2,4,5
systemd_fuzz-link-parser-IDX17,2,2,1,3,4,3
systemd_fuzz-link-parser-IDX2,5,1,1,2,4,3
systemd_fuzz-link-parser-IDX20,2,2,1,3,4,2
systemd_fuzz-link-parser-IDX21,5,4,3,3,1,2
systemd_fuzz-link-parser-IDX22,1,2,1,3,4,1
systemd_fuzz-link-parser-IDX27,3,4,3,4,2,1
systemd_fuzz-link-parser-IDX30,1,2,1,2,2,2
systemd_fuzz-link-parser-IDX35,5,2,3,4,1,4
systemd_fuzz-link-parser-IDX36,5,2,5,3,1,4
systemd_fuzz-link-parser-IDX39,3,1,5,4,2,1
systemd_fuzz-link-parser-IDX40,5,5,1,4,2,3
systemd_fuzz-link-parser-IDX46,2,3,2,3,1,3
systemd_fuzz-link-parser-IDX50,2,3,2,3,1,3
systemd_fuzz-link-parser-IDX66,2,3,2,4,1,5
systemd_fuzz-link-parser-IDX67,1,5,2,1,4,3
systemd_fuzz-link-parser-IDX7,3,5,2,1,4,5
systemd_fuzz-link-parser-IDX70,3,5,1,4,4,2
systemd_fuzz-link-parser-IDX72,2,4,3,5,1,5
systemd_fuzz-link-parser-IDX84,1,5,3,2,3,4
systemd_fuzz-link-parser-IDX85,4,5,4,3,1,2
systemd_fuzz-link-parser-IDX86,2,2,2,3,1,3
systemd_fuzz-link-parser-IDX88,1,2,1,4,5,3
systemd_fuzz-link-parser-IDX93,1,2,1,4,3,5
systemd_fuzz-link-parser-IDX96,2,4,3,3,2,1
systemd_fuzz-link-parser-IDX99,3,2,5,4,1,2
vorbis-2017-12-11-IDX41,4,1,2,4,5,3
vorbis-2017-12-11-IDX7,5,4,5,1,2,3
