,fuzzer,covered_targets,time,target,covered_edges,trial_id,rank,micro_benchmark
0,honggfuzz,591,720,717,4646,1,1,bloaty_fuzz_target-IDX0
1,entropic,527,900,717,4265,6001,2,bloaty_fuzz_target-IDX0
2,libfuzzer,497,900,717,4280,8001,3,bloaty_fuzz_target-IDX0
3,afl,484,900,717,4342,4001,4,bloaty_fuzz_target-IDX0
4,eclipser,473,900,717,4203,10001,5,bloaty_fuzz_target-IDX0
5,aflplusplus,441,180,717,4021,2001,6,bloaty_fuzz_target-IDX0
6,entropic,517,780,691,4535,6002,1,bloaty_fuzz_target-IDX1
7,afl,499,840,691,4386,4002,2,bloaty_fuzz_target-IDX1
8,eclipser,496,780,691,4314,10002,3,bloaty_fuzz_target-IDX1
9,libfuzzer,482,900,691,4011,8002,4,bloaty_fuzz_target-IDX1
10,honggfuzz,474,900,691,4350,2,5,bloaty_fuzz_target-IDX1
11,aflplusplus,443,60,691,3942,2002,6,bloaty_fuzz_target-IDX1
12,afl,290,900,1546,1676,4003,1,bloaty_fuzz_target-IDX2
13,eclipser,279,900,1546,1959,10003,2,bloaty_fuzz_target-IDX2
14,libfuzzer,261,660,1546,2041,8003,3,bloaty_fuzz_target-IDX2
15,entropic,257,600,1546,2021,6003,4,bloaty_fuzz_target-IDX2
16,honggfuzz,256,780,1546,1889,3,5,bloaty_fuzz_target-IDX2
17,aflplusplus,115,60,1546,1423,2003,6,bloaty_fuzz_target-IDX2
18,eclipser,166,900,1478,1383,10004,1,bloaty_fuzz_target-IDX3
19,afl,157,480,1478,1285,4004,2,bloaty_fuzz_target-IDX3
20,aflplusplus,125,900,1478,1222,2004,3,bloaty_fuzz_target-IDX3
21,entropic,105,720,1478,1599,6004,4,bloaty_fuzz_target-IDX3
22,honggfuzz,105,780,1478,1357,4,5,bloaty_fuzz_target-IDX3
23,libfuzzer,92,600,1478,1556,8004,6,bloaty_fuzz_target-IDX3
24,libfuzzer,298,840,1590,1918,8005,1,bloaty_fuzz_target-IDX4
25,honggfuzz,290,660,1590,1907,5,2,bloaty_fuzz_target-IDX4
26,afl,283,900,1590,1674,4005,3,bloaty_fuzz_target-IDX4
27,entropic,275,540,1590,2051,6005,4,bloaty_fuzz_target-IDX4
28,eclipser,270,840,1590,2008,10005,5,bloaty_fuzz_target-IDX4
29,aflplusplus,210,720,1590,1528,2005,6,bloaty_fuzz_target-IDX4
30,honggfuzz,716,900,826,4717,6,1,bloaty_fuzz_target-IDX5
31,eclipser,646,660,826,4193,10006,2,bloaty_fuzz_target-IDX5
32,afl,621,780,826,3979,4006,3,bloaty_fuzz_target-IDX5
33,aflplusplus,425,600,826,3452,2006,4,bloaty_fuzz_target-IDX5
34,entropic,402,900,826,3960,6006,5,bloaty_fuzz_target-IDX5
35,libfuzzer,178,660,826,3314,8006,6,bloaty_fuzz_target-IDX5
36,honggfuzz,205,840,233,4765,7,1,bloaty_fuzz_target-IDX6
37,eclipser,200,900,233,4474,10007,2,bloaty_fuzz_target-IDX6
38,afl,172,900,233,4565,4007,3,bloaty_fuzz_target-IDX6
39,entropic,169,840,233,4342,6007,4,bloaty_fuzz_target-IDX6
40,libfuzzer,162,900,233,4181,8007,5,bloaty_fuzz_target-IDX6
41,aflplusplus,115,60,233,3612,2007,6,bloaty_fuzz_target-IDX6
42,entropic,182,660,210,3568,6008,1,bloaty_fuzz_target-IDX7
43,libfuzzer,159,420,210,1836,8008,2,bloaty_fuzz_target-IDX7
44,eclipser,146,900,210,3688,10008,3,bloaty_fuzz_target-IDX7
45,honggfuzz,124,600,210,4504,8,4,bloaty_fuzz_target-IDX7
46,afl,90,840,210,3213,4008,5,bloaty_fuzz_target-IDX7
47,aflplusplus,61,480,210,1557,2008,6,bloaty_fuzz_target-IDX7
48,honggfuzz,132,840,1751,1502,9,1,bloaty_fuzz_target-IDX8
49,libfuzzer,102,720,1751,1646,8009,2,bloaty_fuzz_target-IDX8
50,afl,97,480,1751,1220,4009,3,bloaty_fuzz_target-IDX8
51,eclipser,90,840,1751,1364,10009,4,bloaty_fuzz_target-IDX8
52,entropic,88,480,1751,1589,6009,5,bloaty_fuzz_target-IDX8
53,aflplusplus,73,660,1751,1193,2009,6,bloaty_fuzz_target-IDX8
54,afl,398,300,2144,1121,4010,1,bloaty_fuzz_target-IDX9
55,libfuzzer,397,360,2144,1581,8010,2,bloaty_fuzz_target-IDX9
56,honggfuzz,396,900,2144,1363,10,3,bloaty_fuzz_target-IDX9
57,entropic,385,840,2144,1521,6010,4,bloaty_fuzz_target-IDX9
58,eclipser,336,900,2144,1347,10010,5,bloaty_fuzz_target-IDX9
59,aflplusplus,235,840,2144,1122,2010,6,bloaty_fuzz_target-IDX9
60,honggfuzz,1089,900,1228,4828,11,1,bloaty_fuzz_target-IDX10
61,entropic,1073,900,1228,4080,6011,2,bloaty_fuzz_target-IDX10
62,afl,1014,900,1228,4067,4011,3,bloaty_fuzz_target-IDX10
63,libfuzzer,207,900,1228,1905,8011,4,bloaty_fuzz_target-IDX10
64,eclipser,204,660,1228,1871,10011,5,bloaty_fuzz_target-IDX10
65,aflplusplus,128,360,1228,1680,2011,6,bloaty_fuzz_target-IDX10
66,entropic,233,540,267,1962,6012,1,bloaty_fuzz_target-IDX11
67,libfuzzer,217,600,267,1892,8012,2,bloaty_fuzz_target-IDX11
68,eclipser,183,720,267,1802,10012,3,bloaty_fuzz_target-IDX11
69,afl,173,780,267,1686,4012,4,bloaty_fuzz_target-IDX11
70,honggfuzz,160,300,267,1855,12,5,bloaty_fuzz_target-IDX11
71,aflplusplus,154,780,267,1576,2012,6,bloaty_fuzz_target-IDX11
72,honggfuzz,226,900,353,4659,13,1,bloaty_fuzz_target-IDX12
73,entropic,216,840,353,4390,6013,2,bloaty_fuzz_target-IDX12
74,libfuzzer,203,840,353,4279,8013,3,bloaty_fuzz_target-IDX12
75,eclipser,182,600,353,4230,10013,4,bloaty_fuzz_target-IDX12
76,afl,163,840,353,4355,4013,5,bloaty_fuzz_target-IDX12
77,aflplusplus,121,60,353,3750,2013,6,bloaty_fuzz_target-IDX12
78,entropic,191,540,267,4277,6014,1,bloaty_fuzz_target-IDX13
79,eclipser,181,900,267,4470,10014,2,bloaty_fuzz_target-IDX13
80,libfuzzer,170,900,267,4211,8014,3,bloaty_fuzz_target-IDX13
81,honggfuzz,147,720,267,4624,14,4,bloaty_fuzz_target-IDX13
82,afl,136,300,267,3944,4014,5,bloaty_fuzz_target-IDX13
83,aflplusplus,118,420,267,3876,2014,6,bloaty_fuzz_target-IDX13
84,honggfuzz,285,900,1278,1999,15,1,bloaty_fuzz_target-IDX14
85,eclipser,265,840,1278,1843,10015,2,bloaty_fuzz_target-IDX14
86,entropic,264,840,1278,1945,6015,3,bloaty_fuzz_target-IDX14
87,libfuzzer,263,780,1278,1971,8015,4,bloaty_fuzz_target-IDX14
88,afl,248,840,1278,1637,4015,5,bloaty_fuzz_target-IDX14
89,aflplusplus,156,60,1278,1417,2015,6,bloaty_fuzz_target-IDX14
90,honggfuzz,178,780,1863,1582,16,1,bloaty_fuzz_target-IDX15
91,entropic,141,720,1863,1667,6016,2,bloaty_fuzz_target-IDX15
92,libfuzzer,120,840,1863,1625,8016,3,bloaty_fuzz_target-IDX15
93,eclipser,118,240,1863,1424,10016,4,bloaty_fuzz_target-IDX15
94,afl,100,600,1863,1298,4016,5,bloaty_fuzz_target-IDX15
95,aflplusplus,87,900,1863,1269,2016,6,bloaty_fuzz_target-IDX15
96,honggfuzz,85,480,127,4278,17,1,bloaty_fuzz_target-IDX16
97,entropic,83,840,127,3994,6017,2,bloaty_fuzz_target-IDX16
98,eclipser,79,300,127,3931,10017,3,bloaty_fuzz_target-IDX16
99,libfuzzer,78,480,127,4080,8017,4,bloaty_fuzz_target-IDX16
100,aflplusplus,50,60,127,3868,2017,5,bloaty_fuzz_target-IDX16
101,afl,43,60,127,3835,4017,6,bloaty_fuzz_target-IDX16
102,entropic,220,780,1211,2001,6018,1,bloaty_fuzz_target-IDX17
103,eclipser,196,900,1211,1862,10018,2,bloaty_fuzz_target-IDX17
104,libfuzzer,189,540,1211,1953,8018,3,bloaty_fuzz_target-IDX17
105,afl,181,780,1211,1809,4018,4,bloaty_fuzz_target-IDX17
106,honggfuzz,162,900,1211,1887,18,5,bloaty_fuzz_target-IDX17
107,aflplusplus,156,720,1211,1683,2018,6,bloaty_fuzz_target-IDX17
108,honggfuzz,107,660,247,4570,19,1,bloaty_fuzz_target-IDX18
109,libfuzzer,107,720,247,4450,8019,2,bloaty_fuzz_target-IDX18
110,afl,105,720,247,4329,4019,3,bloaty_fuzz_target-IDX18
111,entropic,98,660,247,4392,6019,4,bloaty_fuzz_target-IDX18
112,eclipser,93,660,247,4385,10019,5,bloaty_fuzz_target-IDX18
113,aflplusplus,69,420,247,3916,2019,6,bloaty_fuzz_target-IDX18
114,honggfuzz,414,540,2024,1667,20,1,bloaty_fuzz_target-IDX19
115,entropic,348,720,2024,1531,6020,2,bloaty_fuzz_target-IDX19
116,eclipser,346,660,2024,1606,10020,3,bloaty_fuzz_target-IDX19
117,aflplusplus,322,720,2024,1360,2020,4,bloaty_fuzz_target-IDX19
118,libfuzzer,285,240,2024,1467,8020,5,bloaty_fuzz_target-IDX19
119,afl,266,540,2024,1264,4020,6,bloaty_fuzz_target-IDX19
120,afl,1411,660,1576,4252,4021,1,bloaty_fuzz_target-IDX20
121,eclipser,1403,900,1576,3985,10021,2,bloaty_fuzz_target-IDX20
122,entropic,1336,780,1576,3538,6021,3,bloaty_fuzz_target-IDX20
123,honggfuzz,1263,900,1576,3432,21,4,bloaty_fuzz_target-IDX20
124,aflplusplus,1256,60,1576,3049,2021,5,bloaty_fuzz_target-IDX20
125,libfuzzer,311,900,1576,1709,8021,6,bloaty_fuzz_target-IDX20
126,honggfuzz,684,720,1014,4069,22,1,bloaty_fuzz_target-IDX21
127,afl,649,780,1014,3993,4022,2,bloaty_fuzz_target-IDX21
128,eclipser,645,780,1014,4059,10022,3,bloaty_fuzz_target-IDX21
129,libfuzzer,642,780,1014,4017,8022,4,bloaty_fuzz_target-IDX21
130,entropic,457,840,1014,3747,6022,5,bloaty_fuzz_target-IDX21
131,aflplusplus,399,60,1014,3507,2022,6,bloaty_fuzz_target-IDX21
132,afl,187,600,1213,1705,4023,1,bloaty_fuzz_target-IDX22
133,honggfuzz,186,840,1213,2036,23,2,bloaty_fuzz_target-IDX22
134,eclipser,168,900,1213,1850,10023,3,bloaty_fuzz_target-IDX22
135,entropic,144,720,1213,1924,6023,4,bloaty_fuzz_target-IDX22
136,libfuzzer,98,540,1213,1838,8023,5,bloaty_fuzz_target-IDX22
137,aflplusplus,79,60,1213,1436,2023,6,bloaty_fuzz_target-IDX22
138,entropic,522,900,669,4535,6024,1,bloaty_fuzz_target-IDX23
139,eclipser,516,660,669,4468,10024,2,bloaty_fuzz_target-IDX23
140,honggfuzz,506,900,669,4252,24,3,bloaty_fuzz_target-IDX23
141,libfuzzer,496,900,669,4420,8024,4,bloaty_fuzz_target-IDX23
142,afl,495,840,669,4383,4024,5,bloaty_fuzz_target-IDX23
143,aflplusplus,445,120,669,4027,2024,6,bloaty_fuzz_target-IDX23
144,honggfuzz,133,420,138,4894,25,1,bloaty_fuzz_target-IDX24
145,entropic,115,900,138,4689,6025,2,bloaty_fuzz_target-IDX24
146,afl,114,720,138,4666,4025,3,bloaty_fuzz_target-IDX24
147,eclipser,109,300,138,4586,10025,4,bloaty_fuzz_target-IDX24
148,aflplusplus,108,60,138,4232,2025,5,bloaty_fuzz_target-IDX24
149,libfuzzer,107,780,138,4812,8025,6,bloaty_fuzz_target-IDX24
150,afl,227,360,257,4093,4026,1,bloaty_fuzz_target-IDX25
151,honggfuzz,226,480,257,4512,26,2,bloaty_fuzz_target-IDX25
152,eclipser,212,480,257,4082,10026,3,bloaty_fuzz_target-IDX25
153,entropic,208,900,257,4221,6026,4,bloaty_fuzz_target-IDX25
154,aflplusplus,186,60,257,3695,2026,5,bloaty_fuzz_target-IDX25
155,libfuzzer,181,780,257,4056,8026,6,bloaty_fuzz_target-IDX25
156,eclipser,294,780,1270,1851,10027,1,bloaty_fuzz_target-IDX26
157,honggfuzz,291,780,1270,2081,27,2,bloaty_fuzz_target-IDX26
158,entropic,282,900,1270,1979,6027,3,bloaty_fuzz_target-IDX26
159,afl,255,900,1270,1662,4027,4,bloaty_fuzz_target-IDX26
160,libfuzzer,241,540,1270,1959,8027,5,bloaty_fuzz_target-IDX26
161,aflplusplus,162,720,1270,1497,2027,6,bloaty_fuzz_target-IDX26
162,eclipser,1261,900,1318,4421,10028,1,bloaty_fuzz_target-IDX27
163,afl,1247,840,1318,3908,4028,2,bloaty_fuzz_target-IDX27
164,entropic,1091,900,1318,3478,6028,3,bloaty_fuzz_target-IDX27
165,honggfuzz,1089,900,1318,3375,28,4,bloaty_fuzz_target-IDX27
166,aflplusplus,301,240,1318,1631,2028,5,bloaty_fuzz_target-IDX27
167,libfuzzer,297,840,1318,1870,8028,6,bloaty_fuzz_target-IDX27
168,libfuzzer,236,540,380,4381,8029,1,bloaty_fuzz_target-IDX28
169,honggfuzz,236,720,380,4810,29,2,bloaty_fuzz_target-IDX28
170,entropic,229,840,380,4382,6029,3,bloaty_fuzz_target-IDX28
171,eclipser,172,900,380,4226,10029,4,bloaty_fuzz_target-IDX28
