micro_benchmark,aflplusplus,libfuzzer
bloaty_fuzz_target-IDX0,2,1
bloaty_fuzz_target-IDX1,1,2
bloaty_fuzz_target-IDX11,1,2
bloaty_fuzz_target-IDX12,2,1
bloaty_fuzz_target-IDX13,1,2
bloaty_fuzz_target-IDX14,1,2
bloaty_fuzz_target-IDX15,1,2
bloaty_fuzz_target-IDX16,2,1
bloaty_fuzz_target-IDX17,1,2
bloaty_fuzz_target-IDX18,1,2
bloaty_fuzz_target-IDX19,1,2
bloaty_fuzz_target-IDX2,2,1
bloaty_fuzz_target-IDX20,1,2
bloaty_fuzz_target-IDX21,2,1
bloaty_fuzz_target-IDX22,2,1
bloaty_fuzz_target-IDX23,1,2
bloaty_fuzz_target-IDX24,1,2
bloaty_fuzz_target-IDX25,1,2
bloaty_fuzz_target-IDX26,2,1
bloaty_fuzz_target-IDX27,2,1
bloaty_fuzz_target-IDX28,1,2
bloaty_fuzz_target-IDX29,1,2
bloaty_fuzz_target-IDX3,1,2
bloaty_fuzz_target-IDX30,2,1
bloaty_fuzz_target-IDX31,1,2
bloaty_fuzz_target-IDX32,1,2
bloaty_fuzz_target-IDX33,1,2
bloaty_fuzz_target-IDX34,1,2
bloaty_fuzz_target-IDX35,2,1
bloaty_fuzz_target-IDX37,2,1
bloaty_fuzz_target-IDX38,2,1
bloaty_fuzz_target-IDX39,2,1
bloaty_fuzz_target-IDX4,1,2
bloaty_fuzz_target-IDX40,1,2
bloaty_fuzz_target-IDX41,1,2
bloaty_fuzz_target-IDX42,1,2
bloaty_fuzz_target-IDX43,1,2
bloaty_fuzz_target-IDX44,2,1
bloaty_fuzz_target-IDX45,2,1
bloaty_fuzz_target-IDX46,2,1
bloaty_fuzz_target-IDX47,1,2
bloaty_fuzz_target-IDX48,1,1
bloaty_fuzz_target-IDX49,2,1
bloaty_fuzz_target-IDX5,2,1
bloaty_fuzz_target-IDX52,2,1
bloaty_fuzz_target-IDX54,2,1
bloaty_fuzz_target-IDX55,1,2
bloaty_fuzz_target-IDX56,2,1
bloaty_fuzz_target-IDX57,1,2
bloaty_fuzz_target-IDX58,2,1
bloaty_fuzz_target-IDX59,1,2
bloaty_fuzz_target-IDX6,1,2
bloaty_fuzz_target-IDX60,2,1
bloaty_fuzz_target-IDX61,2,1
bloaty_fuzz_target-IDX62,1,2
bloaty_fuzz_target-IDX63,1,2
bloaty_fuzz_target-IDX65,1,2
bloaty_fuzz_target-IDX67,2,1
bloaty_fuzz_target-IDX68,1,2
bloaty_fuzz_target-IDX69,1,2
bloaty_fuzz_target-IDX7,2,1
bloaty_fuzz_target-IDX70,1,2
bloaty_fuzz_target-IDX71,2,1
bloaty_fuzz_target-IDX72,1,2
bloaty_fuzz_target-IDX73,2,1
bloaty_fuzz_target-IDX74,2,1
bloaty_fuzz_target-IDX75,2,1
bloaty_fuzz_target-IDX76,2,1
bloaty_fuzz_target-IDX77,1,2
bloaty_fuzz_target-IDX78,1,2
bloaty_fuzz_target-IDX79,1,2
bloaty_fuzz_target-IDX8,2,1
bloaty_fuzz_target-IDX80,1,2
bloaty_fuzz_target-IDX81,1,2
bloaty_fuzz_target-IDX83,1,2
bloaty_fuzz_target-IDX84,2,1
bloaty_fuzz_target-IDX85,2,1
bloaty_fuzz_target-IDX86,1,2
bloaty_fuzz_target-IDX87,2,1
bloaty_fuzz_target-IDX88,1,2
bloaty_fuzz_target-IDX89,1,2
bloaty_fuzz_target-IDX9,2,1
bloaty_fuzz_target-IDX90,1,2
bloaty_fuzz_target-IDX91,1,2
bloaty_fuzz_target-IDX92,1,2
bloaty_fuzz_target-IDX93,2,1
bloaty_fuzz_target-IDX94,1,2
bloaty_fuzz_target-IDX95,2,1
bloaty_fuzz_target-IDX96,2,1
bloaty_fuzz_target-IDX97,1,2
bloaty_fuzz_target-IDX98,1,2
libjpeg-turbo-07-2017-IDX0,1,2
libjpeg-turbo-07-2017-IDX1,1,2
libjpeg-turbo-07-2017-IDX10,1,2
libjpeg-turbo-07-2017-IDX11,2,1
libjpeg-turbo-07-2017-IDX12,1,2
libjpeg-turbo-07-2017-IDX13,1,2
libjpeg-turbo-07-2017-IDX14,1,2
libjpeg-turbo-07-2017-IDX15,1,2
libjpeg-turbo-07-2017-IDX16,1,2
libjpeg-turbo-07-2017-IDX17,1,2
libjpeg-turbo-07-2017-IDX18,1,2
libjpeg-turbo-07-2017-IDX19,2,1
libjpeg-turbo-07-2017-IDX2,1,2
libjpeg-turbo-07-2017-IDX20,1,2
libjpeg-turbo-07-2017-IDX21,1,1
libjpeg-turbo-07-2017-IDX22,1,2
libjpeg-turbo-07-2017-IDX23,1,2
libjpeg-turbo-07-2017-IDX24,1,2
libjpeg-turbo-07-2017-IDX25,1,2
libjpeg-turbo-07-2017-IDX26,1,2
libjpeg-turbo-07-2017-IDX27,1,2
libjpeg-turbo-07-2017-IDX28,2,1
libjpeg-turbo-07-2017-IDX3,1,2
libjpeg-turbo-07-2017-IDX30,1,2
libjpeg-turbo-07-2017-IDX31,1,2
libjpeg-turbo-07-2017-IDX32,1,2
libjpeg-turbo-07-2017-IDX33,1,2
libjpeg-turbo-07-2017-IDX35,1,2
libjpeg-turbo-07-2017-IDX36,1,2
libjpeg-turbo-07-2017-IDX38,1,2
libjpeg-turbo-07-2017-IDX39,2,1
libjpeg-turbo-07-2017-IDX4,1,2
libjpeg-turbo-07-2017-IDX40,2,1
libjpeg-turbo-07-2017-IDX41,1,2
libjpeg-turbo-07-2017-IDX42,2,1
libjpeg-turbo-07-2017-IDX43,1,2
libjpeg-turbo-07-2017-IDX44,1,2
libjpeg-turbo-07-2017-IDX45,1,2
libjpeg-turbo-07-2017-IDX46,1,2
libjpeg-turbo-07-2017-IDX47,1,2
libjpeg-turbo-07-2017-IDX48,1,2
libjpeg-turbo-07-2017-IDX49,1,2
libjpeg-turbo-07-2017-IDX50,1,2
libjpeg-turbo-07-2017-IDX51,1,2
libjpeg-turbo-07-2017-IDX52,2,1
libjpeg-turbo-07-2017-IDX53,1,2
