127, 60.00000, 127
329, 60.00000, 202
330, 60.00000, 1
468, 60.00000, 138
520, 60.00000, 52
546, 60.00000, 26
555, 60.00000, 9
588, 60.00000, 33
614, 60.00000, 26
643, 60.00000, 29
670, 60.00000, 27
697, 60.00000, 27
708, 60.00000, 11
761, 60.00000, 53
877, 120.00000, 116
1120, 120.00000, 243
1169, 120.00000, 49
1245, 120.00000, 76
1273, 120.00000, 28
1695, 180.00000, 422
1905, 180.00000, 210
2017, 180.00000, 112
2030, 180.00000, 13
2238, 240.00000, 208
2302, 240.00000, 64
2366, 300.00000, 64
2374, 300.00000, 8
2468, 360.00000, 94
2604, 360.00000, 136
3305, 360.00000, 701
3452, 360.00000, 147
4092, 420.00000, 640
4142, 420.00000, 50
4182, 420.00000, 40
4349, 420.00000, 167
4467, 480.00000, 118
4971, 480.00000, 504
5101, 480.00000, 130
5173, 480.00000, 72
5527, 600.00000, 354
5623, 600.00000, 96
5744, 660.00000, 121
5916, 720.00000, 172
5977, 720.00000, 61
6025, 780.00000, 48
6121, 840.00000, 96
6655, 840.00000, 534
6782, 840.00000, 127
6809, 840.00000, 27
7310, 840.00000, 501
7613, 840.00000, 303
8532, 900.00000, 919
8689, 900.00000, 157
